BENCHMARK,ITERATION_1,ITERATION_2,ITERATION_3,ITERATION_4,ITERATION_5,ITERATION_6,ITERATION_7,ITERATION_8,ITERATION_9,ITERATION_10,ITERATION_11,ITERATION_12,ITERATION_13,ITERATION_14,ITERATION_15,ITERATION_16,ITERATION_17,ITERATION_18,ITERATION_19,ITERATION_20,ITERATION_21,ITERATION_22,ITERATION_23,ITERATION_24,ITERATION_25,ITERATION_26,ITERATION_27,ITERATION_28,ITERATION_29,ITERATION_30,RSD
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_eager_ec_13,14.46254559,14.18070004,15.56662506,14.52101701,14.57452934,15.89080126,16.15147818,16.19975232,15.31693716,14.52127394,14.2038367,14.49200515,14.21565062,14.52246226,14.44010971,14.39128319,14.27900082,14.43357256,13.96592847,14.30352386,14.35988719,14.2601188,13.82210417,14.3845786,14.39104329,14.52163088,14.15600351,14.63950864,14.29287749,14.38470419,4.12555398
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_ec_14,14.31422709,13.80441939,14.03812858,14.41014419,14.05210674,14.49319559,14.35057207,14.65741474,14.48231804,15.2917214,14.37940723,14.39309232,14.24479945,14.02627459,14.29259414,14.31189387,14.32785435,14.31302037,14.62274421,14.2691536,14.29497781,14.485243,14.38006586,15.43838945,15.59370639,15.4074801,14.46750347,14.66440475,14.58107447,13.80432687,3.034953543
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_jdk_15,16.16000739,15.69631058,15.05075661,15.39035088,15.66883272,15.20021953,15.70139452,15.94253132,15.58625693,16.75120246,17.36728876,16.70763268,17.96210653,17.10158559,17.48053401,16.47001827,15.71979798,15.43819431,16.12773977,15.73851304,15.45176712,15.73152665,15.88638228,15.84455304,15.79605686,15.59661035,16.12666364,15.5529477,15.82381239,15.12210852,4.481691634
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_streams_ec_16,19.11180771,19.79857902,19.35789008,19.48222207,18.82308775,18.69945492,18.18435005,19.70191214,19.98798399,20.02820118,19.78213887,16.7241508,19.17577486,18.77589308,18.89680186,19.427953,19.15776162,19.35005244,19.88126924,18.61869638,19.58160421,19.56049684,18.69640771,19.59118051,19.47525825,19.43568853,17.3488915,19.04400324,19.54730978,18.95268942,3.808701545
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec_17,17.51236869,17.36317475,17.71866575,17.39671284,17.33664514,17.55490785,16.13223434,17.53245737,17.72274335,17.39941737,15.98904736,17.3570539,17.33519626,17.66649937,16.80484739,17.45319693,17.91492025,17.26083411,17.15438525,17.51899526,18.00319406,17.65070868,17.74738271,17.39473815,17.7314248,18.04877618,17.65936091,15.63137151,15.92571929,17.79936812,3.569457482
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_ec_18,18.19747496,18.18719696,18.28368184,18.21068656,18.10243166,18.19381044,18.24680571,18.0734233,17.89731987,18.03067692,18.23699077,17.91844745,18.08076272,17.94109864,18.30362455,18.165065,18.21102129,18.37218459,18.37477427,17.91902509,18.38181081,18.06262908,18.23834527,18.17566404,18.16601141,18.09527039,18.12403052,18.18612145,17.82709688,17.76479074,0.875839102
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_jdk_19,28.13729377,29.61501587,32.58927068,30.25829612,31.30880187,31.28660331,31.69049036,32.13840322,30.36576773,30.80936389,32.17628564,31.05551589,32.01608799,31.61375656,30.68329118,31.99060554,32.76698571,29.96936262,32.92024921,30.50228539,30.16137533,31.47159804,31.18463855,30.97009785,32.43884378,31.96991022,31.1152241,31.9357114,30.59929637,30.29645837,3.36018256
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_streams_ec_20,31.57034712,34.08548248,35.21545226,35.03600496,33.34607634,33.61936318,33.62358384,32.82676456,34.27771547,34.61119723,35.31040932,32.45729999,34.14084875,34.7148521,32.25897906,34.1487406,35.38115432,32.64117514,35.66102007,33.57548606,31.30979088,34.46975829,32.88411939,29.81930877,33.71629635,34.70532865,32.81706782,34.69707758,34.36139441,32.06843546,4.059656316
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_eager_ec_21,9.571282859,9.965667409,9.956309395,9.925215939,9.400269826,9.961327814,9.813246866,10.18830887,9.79873313,9.92142583,9.991480654,9.788910716,9.336155519,9.96969809,9.430274342,9.414610763,10.05668442,10.14356489,9.849068191,9.849027003,10.00691275,9.996425628,10.13476856,9.943382371,9.775896814,9.955829945,9.862301219,10.18074744,9.812299194,10.0081797,2.322496688
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_lazy_ec_22,9.880156878,9.417521448,9.704820574,10.12701002,9.943715112,9.497245177,9.574726442,9.561787734,9.953201876,9.714826183,9.785386828,9.86241148,9.960335534,9.850555528,10.30052482,9.935824429,10.06659918,10.02805208,9.76611548,10.1181215,9.885166013,9.937215934,10.14593158,9.883255605,9.994907885,9.815801219,9.609407499,10.06600116,9.815003699,9.911638294,2.067619112
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_lazy_jdk_23,12.72256123,12.47981609,12.76379599,12.15587049,12.24036058,12.59750426,12.5532706,12.33735314,12.47356663,12.35824215,12.44617634,12.62652199,12.64121882,12.57064216,12.36623532,12.22936816,12.28129715,11.96343527,12.44401668,12.47717517,12.10707709,11.70692844,12.18346572,12.42207001,12.34405389,12.29563852,12.64354087,11.71041609,10.99308973,11.41671376,3.205502135
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_lazy_streams_ec_24,12.87074119,13.36511291,12.88193188,13.5196418,13.14868401,13.98605769,13.1585947,13.83041906,12.4107054,12.13464222,11.97239831,11.9108495,12.01803609,12.66681868,12.37093633,12.66609383,13.06652008,13.30983457,13.57241687,12.28190046,12.95384957,13.66480619,13.82219294,13.68013151,13.6329058,13.48954102,13.93908375,14.88657839,14.385083,14.7736585,6.026060917
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_parallel_eager_ec_25,10.83813342,10.97987663,11.3293138,11.45491105,10.74500708,10.94423525,10.84219125,9.800753273,10.27524461,10.94247904,9.136300992,10.82440774,10.65308823,11.24140377,10.23784287,10.54002631,11.05030351,10.58485058,11.05162507,11.28626916,10.78589293,11.38726839,10.9464522,10.48707007,10.24106807,10.74969135,10.90657406,11.12479807,10.17366042,10.70171189,4.585858297
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_parallel_lazy_ec_26,11.88144141,10.77027123,11.82852851,10.61416373,11.26500067,11.45780779,11.68012818,11.40671947,11.08908513,11.33612463,11.87353875,10.52399519,11.22733744,11.60568377,11.8346094,11.99760027,11.77720874,11.556598,11.29142721,11.22667719,10.6214301,11.14577012,11.29737329,10.83577064,11.02986132,10.97316797,10.42067063,11.20257505,11.14619377,11.54845444,3.837372489
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_serial_eager_ec_27,6.098073745,6.055784848,5.947726639,5.956986826,5.800665692,5.904289123,5.844574967,5.964325419,5.938252066,5.987743401,5.974671973,5.320266612,5.75148501,5.838558231,6.057157299,6.114082398,5.932785298,6.032276916,5.750146123,5.785614026,5.848785465,5.7183524,5.618597405,5.299861987,5.250042552,5.742293796,5.977008698,5.636039711,5.776321871,5.84975623,3.822002851
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_parallel_eager_ec_28,23.2651023,23.60138344,22.82007317,23.02367384,23.19135123,22.45995211,23.67638833,23.4560202,22.99649152,23.89995136,23.07431153,23.32186804,23.80791259,23.47868475,22.24127042,22.5604274,23.29140268,23.39941893,23.0748147,23.31107145,23.43731685,23.43590764,23.49731784,23.84714066,23.08504795,23.23286927,23.38082752,23.16846816,23.54131321,23.33417477,1.650281953
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_parallel_lazy_ec_29,22.21875346,22.32388582,22.19063757,22.02002573,22.13329458,20.45957832,21.74565624,22.03893819,22.02897959,21.99409138,21.635498,22.26453863,22.1956364,21.88900809,22.60746465,21.87994416,21.93538572,22.04959868,22.26707661,22.15951572,22.27244271,22.02685692,21.9834881,21.94638785,21.67622203,21.88506382,20.26419156,20.39495875,20.45540258,20.67758075,2.946405853
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_serial_eager_ec_30,20.53723942,20.96356049,20.19439777,20.63747907,20.11107151,20.95868069,20.75407634,21.39629059,21.68627417,20.98115613,20.010945,20.96987922,21.29589419,20.95777298,20.57095934,20.78732951,19.54529129,20.44584548,20.61510682,21.20139411,19.75988251,20.62957753,20.44498212,20.89491441,20.39004074,21.02416916,21.29935229,20.99003085,19.05029424,18.82062967,3.191689053
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_parallel_eager_ec_31,23.54218749,22.18417835,23.43233644,22.97169704,23.25529648,23.18544834,22.91700558,21.62766357,20.35269304,22.51211796,22.22199425,22.22141467,22.17376199,22.4112136,22.65537703,22.63372967,22.36066792,23.00740922,22.83660739,21.9882877,21.4801578,22.61079805,23.17307659,21.65149566,22.21265962,22.7739308,23.4359092,23.23094844,22.93263122,22.92641305,3.064572017
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_parallel_lazy_ec_32,23.07610239,22.82690518,23.02980339,22.87645461,23.5218867,23.17425629,22.97933418,22.80756484,22.96326475,22.5614573,22.74001352,20.99523967,23.3130659,22.99450622,21.58723029,21.9923847,22.68656333,22.82382268,23.27880489,21.87811309,24.08708558,23.9956488,24.14906316,24.19773906,23.90180888,24.03095533,24.16576297,23.95400869,24.30612968,24.17287205,3.632950377
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_serial_eager_ec_33,11.26346185,10.96547698,9.613018362,11.24891805,11.26256333,10.28679868,11.08587255,11.11308038,11.25489167,11.24423603,10.73659709,11.32912285,11.12584051,11.19213034,11.10967354,11.1445679,11.04501279,11.19101075,10.94099928,11.07188573,11.15920922,10.64110591,11.06027528,10.99213485,10.95103474,10.94929393,10.29035335,11.05494227,11.16634895,10.9227775,3.288305141
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_parallel_lazy_ec_34,697.8335813,731.4689923,724.6496283,717.5904403,724.7913913,714.5880671,720.8919441,717.674526,699.9164523,721.6077095,721.1408494,734.4380902,715.5472704,713.8209016,715.9053544,709.7875989,718.2124248,725.9390517,726.4739319,721.2122307,724.571647,725.7693331,717.5994102,718.615025,729.3367842,720.868492,726.8192662,725.5318136,718.7344291,676.6206533,1.558366805
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_parallel_lazy_jdk_35,655.8394151,664.0351868,659.5121114,648.7407015,656.3359967,650.9800536,651.2379006,656.5509329,656.1225709,662.7627826,644.8178892,648.9846978,625.7676894,655.4760184,652.228905,657.5257517,647.7937761,635.821523,619.1550979,629.5688322,638.5284397,652.4244305,660.8902681,635.932784,622.5309652,649.3599817,656.3464365,657.4255994,652.6437322,658.2506251,1.860582417
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_parallel_lazy_streams_ec_36,889.9707613,886.7593326,878.8928025,878.0756656,877.3370061,869.6772176,874.1647932,901.1543486,990.8184935,992.4001903,999.7540615,997.1412768,992.1616423,998.434714,989.3996185,999.2936673,1002.801827,983.7626712,1000.275457,952.6227938,981.177424,988.8501542,990.2870725,972.3497984,991.11102,998.8335224,997.1877417,985.1040223,994.9336918,1003.163285,5.220921951
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_eager_ec_37,873.5799958,900.4467439,884.1220597,913.3024068,894.5672826,906.9116579,912.8201362,883.5278233,912.0704607,921.5751548,907.2444405,915.3736355,918.4412543,912.7579868,779.4660478,819.0965292,904.565473,893.5466127,853.898523,911.2527354,864.931576,908.0658255,882.3131236,908.5748251,899.6343733,908.7819278,921.566719,905.3177281,900.218416,925.5788089,3.50485339
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_lazy_ec_38,778.7776971,792.1592355,790.6458879,762.971775,780.4988604,782.1910783,780.6927872,773.4823338,779.4675153,734.9107322,731.6900422,780.3528224,766.5505242,756.810165,785.6337407,775.8313621,773.520146,782.5250785,755.7892043,770.8444313,772.2117741,770.7616974,777.0519911,770.2024107,783.1276303,792.7229719,784.0444709,778.1311629,770.8443448,766.0389283,1.836253394
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_lazy_jdk_39,329.7298553,327.7486794,325.8314051,330.3778994,319.1274968,297.3593079,328.2572874,344.7500204,329.7972482,341.6732807,337.8589155,343.4105252,349.331743,346.7975295,340.5262286,341.7118757,339.9103011,350.6570606,356.0043693,353.7906734,349.9586536,350.5386718,356.3969859,345.0537986,356.7072792,356.9869674,338.3820906,351.1126576,351.3236542,354.6501943,3.941242112
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_lazy_streams_ec_40,454.0181209,483.6764364,485.4558263,483.4326768,484.3212804,483.3311794,487.8446225,483.7764664,485.1264533,483.533385,480.3006203,484.6367793,484.1305949,484.2847487,486.8531529,482.7763302,483.9223682,486.4909398,485.8727028,484.8035397,484.180392,473.1438627,479.4906261,486.4397552,485.3320249,481.0335992,479.8712875,482.8449744,482.9195833,481.0455594,1.257575604
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_ec_41,1525.697878,1531.196295,1526.120617,1525.257567,1527.020783,1520.404927,1470.445175,1521.194909,1519.876061,1521.212293,1525.097943,1525.074728,1515.222397,1522.994775,1520.1181,1531.189988,1520.672838,1527.725145,1497.568027,1504.566691,1516.929563,1522.679645,1523.649175,1519.431181,1514.769537,1522.80687,1516.910803,1521.084789,1522.350262,1531.753973,0.768786076
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_jdk_42,749.8156878,735.883595,728.1907747,752.3303019,744.9508901,736.0942022,738.3073643,738.0515307,745.1986447,749.5585775,750.0917229,727.5693607,755.3681419,733.3300319,731.8941454,742.5378146,766.6835023,753.2127661,718.1862505,745.3442975,724.860826,727.7641571,720.0491938,745.8016257,728.0755566,710.8979577,708.3978462,751.9560587,725.0784514,717.5059735,1.940234664
