BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.min_null_throws,1.323945,1.330419,1.319346,1.326122,0.9964331,0.9972229
org.eclipse.collections.impl.list.mutable.ArrayListAdapterTest.reverseForEach_emptyList,1.300258,1.308581,1.303559,1.310975,1.00183,1.003248
org.eclipse.collections.impl.list.mutable.primitive.BooleanArrayListTest.injectIntoWithIndex,1.310919,1.318945,1.309375,1.31629,0.9978605,0.9989228
org.eclipse.collections.impl.list.immutable.ImmutableSeptupletonListTest.getLast,1.269574,1.279764,1.272305,1.27973,1.000665,1.002362
org.eclipse.collections.impl.bag.mutable.SynchronizedBagTest.asSynchronized,1.267657,1.276377,1.261508,1.271811,0.9947971,0.9964232
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.sumInteger,1.288052,1.296989,1.287568,1.294306,0.9985106,0.9999477
org.eclipse.collections.impl.list.immutable.ImmutableNonupletonListTest.getFirst,1.29829,1.306253,1.299509,1.306881,1.000399,1.001093
org.eclipse.collections.impl.bag.sorted.immutable.ImmutableEmptySortedBagTest.anySatisfy,1.325266,1.338017,1.327251,1.339886,0.9995596,1.002467
org.eclipse.collections.impl.bag.mutable.HashBagTest.asSynchronized,1.287878,1.295708,1.285905,1.293563,0.9973079,0.9992182
org.eclipse.collections.impl.bag.immutable.ImmutableSingletonBagTest.selectInstancesOf,1.265521,1.276172,1.261769,1.27076,0.9957183,0.9986564
org.eclipse.collections.impl.bag.mutable.HashBagTest.asLazy,1.302653,1.308385,1.302755,1.307485,0.9993501,1.000078
org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanEmptyListTest.isEmpty,1.314622,1.327128,1.316196,1.326019,0.9991766,1.00163
org.eclipse.collections.impl.list.mutable.RandomAccessListAdapterTest.asLazy,1.329763,1.343955,1.332846,1.344548,0.9994065,1.003203
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.max_null_throws,1.336513,1.353062,1.340276,1.353096,1.00088,1.003179
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.collectIfWithTarget,1.298387,1.307825,1.29726,1.303987,0.9970952,0.9991325
org.eclipse.collections.impl.list.immutable.ImmutableSextupletonListTest.isEmpty,1.319501,1.328096,1.323134,1.331473,1.002514,1.004557
org.eclipse.collections.impl.list.mutable.FastListTest.removeIndex,1.291612,1.299931,1.289245,1.299247,0.9982568,0.9994741
org.eclipse.collections.impl.set.sorted.immutable.ImmutableEmptySortedSetTest.tap,1.319488,1.326863,1.318514,1.326812,0.9990709,1.00022
org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanEmptyListTest.newWithout,1.348273,1.354645,1.346006,1.353075,0.9982191,0.9989322
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.max,1.345415,1.352998,1.347217,1.354407,1.000259,1.002066
org.eclipse.collections.impl.set.sorted.mutable.SynchronizedSortedSet2Test.asLazy,1.329595,1.335592,1.33071,1.337285,1.000622,1.001268
org.eclipse.collections.impl.list.immutable.ImmutableEmptyListTest.partitionWhile,1.347968,1.357537,1.347504,1.353917,0.9976318,0.9996556
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.max,1.329335,1.335652,1.330035,1.337051,1.00027,1.001048
org.eclipse.collections.impl.list.immutable.ImmutableDoubletonListTest.detectLastIndex,1.392836,1.410894,1.390456,1.417613,0.9983318,1.004762
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.injectInto,1.328602,1.337676,1.32827,1.335911,0.9989028,1.00086
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.count,1.301799,1.311848,1.300271,1.31105,0.9988265,0.9998673
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.getLastOptional,1.299374,1.305624,1.298579,1.304033,0.9988485,0.9999667
org.eclipse.collections.impl.list.mutable.FastListTest.removeIndex,1.340334,1.350022,1.339982,1.349149,0.9993535,1.000478
org.eclipse.collections.impl.bag.sorted.immutable.ImmutableEmptySortedBagTest.containsAllArray,1.30607,1.31272,1.304605,1.311867,0.9987495,0.9993497
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.min,1.318911,1.327093,1.319678,1.326162,0.9989417,1.000582
org.eclipse.collections.impl.stack.mutable.primitive.UnmodifiableBooleanStackTest.asSynchronized,1.341356,1.349077,1.341604,1.347884,0.9994203,1.000201
org.eclipse.collections.impl.list.mutable.FastListTest.testForEachIf,1.289451,1.295596,1.287849,1.295126,0.9982979,0.9998138
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoLong,1.368326,1.37598,1.368582,1.376431,1.000162,1.000765
org.eclipse.collections.impl.list.mutable.FastListTest.sumLong,1.323028,1.329349,1.322967,1.330561,0.9998347,1.000924
org.eclipse.collections.impl.list.mutable.RandomAccessListAdapterTest.adapt,1.330461,1.338996,1.327995,1.338895,0.9981465,0.9999246
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.containsAllArray,1.347206,1.354779,1.347195,1.353451,0.9998909,1.001001
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoInt,1.37705,1.385246,1.38027,1.38947,1.002112,1.003097
org.eclipse.collections.impl.set.immutable.ImmutableDoubletonSetTest.min_without_comparator,1.354268,1.36263,1.352422,1.359833,0.9978258,0.9987853
org.eclipse.collections.impl.set.immutable.ImmutableSingletonSetTest.max_without_comparator,1.333265,1.342683,1.330755,1.343181,0.9980436,1.000371
org.eclipse.collections.impl.set.immutable.ImmutableSingletonSetTest.forLoop,1.345783,1.354716,1.342879,1.350007,0.9978126,0.9984871
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoInt,1.345206,1.353532,1.347563,1.356301,1.001428,1.002291
org.eclipse.collections.impl.set.immutable.ImmutableTripletonSetTest.isEmpty,1.358041,1.367538,1.359457,1.369263,1.00076,1.002635
org.eclipse.collections.impl.bag.strategy.mutable.HashBagWithHashingStrategyTest.asUnmodifiable,1.332683,1.343012,1.327285,1.340202,0.9961532,0.997936
org.eclipse.collections.impl.stack.mutable.primitive.UnmodifiableBooleanStackTest.asSynchronized,1.334304,1.342963,1.337055,1.344116,1.000764,1.002179
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.groupByUniqueKey,1.34174,1.351806,1.341366,1.351419,0.9994482,1.001248
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.sumLong,1.328699,1.338332,1.325871,1.336323,0.9982424,1.000077
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.sumDouble,1.334241,1.342908,1.334891,1.343083,1.000318,1.001097
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoDouble,1.367294,1.373592,1.363922,1.372944,0.997625,0.9995282
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.getLastOptional,1.335168,1.341955,1.336772,1.342612,1.000118,1.002217
org.eclipse.collections.impl.bag.mutable.primitive.BooleanHashBagTest.injectInto,1.340531,1.349303,1.339787,1.350692,0.9994755,1.00103
