BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.list.mutable.CompositeFastListTest.parallelBatchForEach,0.6197037,0.6212097,0.6188631,0.6208289,0.9986533,0.9994594
org.eclipse.collections.impl.list.mutable.FastListTest.sumDouble,1.190553,1.195966,1.193408,1.199195,1.002341,1.003221
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoLong,1.228613,1.237069,1.226157,1.235636,0.9979526,0.9989783
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.max_without_comparator,1.201086,1.206054,1.199873,1.205829,0.9989897,1.000023
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.newWith,1.216261,1.22471,1.217094,1.226346,1.000317,1.001977
org.eclipse.collections.impl.list.mutable.FastListTest.summarizeDouble,1.223081,1.228925,1.221303,1.227194,0.9984039,0.9991287
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoFloat,1.188367,1.197695,1.191705,1.205671,1.002809,1.00666
org.eclipse.collections.impl.list.mutable.FastListTest.max,1.26516,1.27264,1.266624,1.273396,1.000594,1.001363
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoInt,1.219235,1.225145,1.218864,1.22569,0.9996997,1.000898
org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanArrayListTest.injectIntoWithIndex,1.217512,1.223397,1.213719,1.222318,0.9969173,0.9991182
org.eclipse.collections.impl.set.sorted.mutable.SynchronizedSortedSet2Test.asUnmodifiable,1.220186,1.224093,1.219632,1.223913,0.9995464,1.000513
org.eclipse.collections.impl.stack.mutable.SynchronizedStackTest.asUnmodifiable,1.23845,1.242554,1.236199,1.241343,0.9977383,0.9990251
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoFloat,1.241996,1.247363,1.24174,1.246708,0.9993602,0.9998851
org.eclipse.collections.impl.list.immutable.ImmutableSingletonListTest.sumDouble,1.223966,1.22843,1.224707,1.22951,1.00013,1.000976
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoFloat,1.230378,1.23519,1.231938,1.235539,1.000503,1.00176
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.flatCollectWithTarget,1.244186,1.25171,1.244894,1.251759,1.000039,1.001638
org.eclipse.collections.impl.bag.mutable.HashBagTest.asUnmodifiable,1.254472,1.259752,1.256053,1.262426,1.00126,1.002123
