BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.list.mutable.CompositeFastListTest.parallelBatchForEach,0.6198123,0.6210473,0.6194173,0.6209256,0.999394,0.9998041
org.eclipse.collections.impl.list.mutable.FastListTest.sumDouble,1.193033,1.198093,1.191395,1.197057,0.9986273,0.9994047
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoLong,1.226658,1.233595,1.226756,1.232547,0.9992815,1.000378
org.eclipse.collections.impl.list.fixed.ArrayAdapterTest.max_without_comparator,1.200406,1.204128,1.201043,1.205782,1.000531,1.001374
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.newWith,1.220823,1.227346,1.216697,1.22327,0.9963232,0.9973327
org.eclipse.collections.impl.list.mutable.FastListTest.summarizeDouble,1.223152,1.229302,1.223796,1.228711,0.9996041,1.000526
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoFloat,1.191372,1.198528,1.190082,1.197191,0.9988848,0.9998936
org.eclipse.collections.impl.list.mutable.FastListTest.max,1.266924,1.271455,1.267911,1.273273,1.000627,1.001465
org.eclipse.collections.impl.set.strategy.immutable.ImmutableEmptySetWithHashingStrategyTest.injectIntoInt,1.220368,1.225955,1.219378,1.22481,0.998589,0.9993362
org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanArrayListTest.injectIntoWithIndex,1.215421,1.221118,1.217547,1.222235,1.000931,1.001749
org.eclipse.collections.impl.set.sorted.mutable.SynchronizedSortedSet2Test.asUnmodifiable,1.22052,1.22393,1.220115,1.223996,0.9993404,1.000065
org.eclipse.collections.impl.stack.mutable.SynchronizedStackTest.asUnmodifiable,1.237238,1.240484,1.236792,1.240337,0.9996389,1.000047
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoFloat,1.244648,1.248708,1.241243,1.246854,0.9974177,0.9985154
org.eclipse.collections.impl.list.immutable.ImmutableSingletonListTest.sumDouble,1.222542,1.226906,1.224059,1.228718,1.001177,1.002107
org.eclipse.collections.impl.list.mutable.FastListTest.injectIntoFloat,1.231122,1.234168,1.232255,1.235556,1.000605,1.001304
org.eclipse.collections.impl.set.immutable.ImmutableEmptySetTest.flatCollectWithTarget,1.246195,1.250686,1.244242,1.249518,0.9980026,0.9990659
org.eclipse.collections.impl.bag.mutable.HashBagTest.asUnmodifiable,1.257856,1.26269,1.256474,1.260542,0.9981448,0.9989507
org.eclipse.collections.impl.list.immutable.ImmutableSingletonListTest.sumDouble,1.242212,1.245644,1.242294,1.246383,1.000066,1.000765
org.eclipse.collections.impl.list.immutable.ImmutableDoubletonListTest.min_without_comparator,1.251135,1.256415,1.252294,1.257561,1.000896,1.001466
org.eclipse.collections.impl.bag.immutable.primitive.ImmutableBooleanEmptyBagTest.booleanIterator,1.234332,1.239662,1.23615,1.24147,1.001337,1.001722
org.eclipse.collections.impl.bag.immutable.ImmutableEmptyBagTest.groupByUniqueKey_throws,1.263269,1.26859,1.264317,1.269395,1.000368,1.001593
org.eclipse.collections.impl.set.sorted.mutable.SynchronizedSortedSet2Test.asUnmodifiable,1.251198,1.257326,1.250124,1.255827,0.9984022,0.9999272
org.eclipse.collections.impl.list.mutable.FastListTest.sumDouble,1.235407,1.239151,1.234686,1.239723,0.9994169,1.000461
org.eclipse.collections.impl.list.mutable.FastListTest.summarizeDouble,1.229225,1.232925,1.229613,1.233188,0.9997262,1.000425
org.eclipse.collections.impl.list.mutable.FastListTest.testForEachIf,1.243135,1.249021,1.242845,1.247354,0.9988604,0.9999749
org.eclipse.collections.impl.list.immutable.ImmutableEmptyListTest.injectInto,1.23273,1.238455,1.234059,1.238988,1.000294,1.001079
org.eclipse.collections.impl.stack.mutable.SynchronizedStackTest.asUnmodifiable,1.254948,1.258857,1.255102,1.259476,0.9999955,1.000658
org.eclipse.collections.impl.set.sorted.immutable.ImmutableEmptySortedSetTest.injectInto,1.252958,1.259498,1.250721,1.257432,0.9983381,0.9990676
