BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,96294750,96313250,96294000,96313250,0.9999922,1
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,96305500,96323250,96308000,96326500,1.000023,1.000034
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,470495000,470667500,470492500,470662500,0.9999841,0.9999947
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,470520000,470685000,470555000,470722500,1.000074,1.000085
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,245785000,245907500,245880000,245972500,1.000274,1.000397
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,245812500,245927500,245792500,245920000,0.9999186,0.9999695
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,665250.3,665423.4,665238.2,665418.7,0.9999815,0.999992
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,498191.2,498317.6,498251.8,498377.9,1.000119,1.000123
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,245882500,245970000,245912500,245985000,1.000061,1.000132
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,957272.7,957545,957266.3,957540.5,0.9999922,1.000002
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,90370.53,90399.65,90366.09,90394.38,0.9999405,0.9999488
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,230.5378,230.6299,230.5482,230.6366,1.000032,1.000047
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,472335.1,472531.5,472304,472523.8,0.9999401,0.9999837
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,584837,585111.1,584884.2,585145.4,1.000057,1.000077
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,33202250,33218000,33203250,33220250,1.00003,1.000068
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,606052.2,606393.2,606184.8,606479.4,1.000141,1.000215
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,13304750,13321750,13306500,13325250,1.000131,1.000282
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,1008152,1008907,1008367,1009065,1.000158,1.000213
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,96122000,96202500,96127500,96202500,1,1.000055
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,332.7382,333.0922,332.6977,333.0154,0.9997809,0.9998783
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,24445.3,24472.52,24446.31,24473.23,1.000001,1.000039
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,4283534,4288697,4283148,4288512,0.9998942,0.9999528
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,40381500,40420750,40386000,40430000,1.000118,1.000235
