BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,96298930,96307670,96298270,96307130,0.9999924,0.9999945
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,96312670,96321470,96311600,96320200,0.9999868,0.9999889
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,470526000,470606700,470511300,470592700,0.9999688,0.9999731
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,470596700,470676700,470586000,470665300,0.9999745,0.9999788
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,245879300,245928700,245866000,245918700,0.9999458,0.9999593
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,245835300,245892000,245840700,245898000,1.000022,1.000027
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,665267.1,665349.1,665274.4,665352.9,1.000006,1.000011
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,498251.1,498315.6,498260.8,498325.5,1.000019,1.000021
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,245910700,245952000,245911300,245953300,1.000003,1.000008
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,957378.9,957516,957398.4,957533.9,1.000019,1.000021
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,90374.27,90387.68,90383.62,90396.91,1.000101,1.000103
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,230.574,230.6178,230.574,230.6176,0.9999974,1.000001
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,472364.7,472458.9,472344.8,472442.5,0.9999575,0.999966
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,584934.6,585056.5,584959.5,585088.1,1.000042,1.000054
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,33206400,33214200,33206000,33213470,0.9999719,0.999988
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,606169.7,606336.7,606209.8,606367.1,1.000049,1.000069
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,13312530,13321400,13313200,13321530,1.00001,1.000055
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,1008400,1008765,1008304,1008655,0.9998916,0.9999061
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,96147270,96187470,96129330,96168600,0.9998039,0.9998149
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,332.8302,332.9908,332.8073,332.9622,0.9999118,0.9999297
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,24452.69,24465.58,24449.78,24463.02,0.9998762,0.9998986
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,4285825,4288165,4285173,4287518,0.9998388,0.9998544
