BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,96295140,96309860,96296140,96310570,1.000004,1.00001
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,96312860,96326570,96307000,96320570,0.9999362,0.9999392
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,470521400,470655700,470497100,470627100,0.9999363,0.9999484
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,470571400,470692900,470555700,470678600,0.9999666,0.9999757
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,245855700,245932900,245897100,245962900,1.000122,1.000169
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,245844300,245924300,245832900,245911400,0.9999477,0.9999593
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,665252.7,665383.1,665228.6,665360.8,0.9999622,0.9999659
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,498243.8,498340.8,498231.1,498334.7,0.9999722,0.9999863
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,245888600,245960000,245920000,245977100,1.00007,1.000122
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,957376,957584.7,957325.6,957531.8,0.9999428,0.9999465
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,90380.81,90402.36,90372.07,90393.98,0.9999021,0.9999084
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,230.5541,230.6246,230.5707,230.639,1.000061,1.000068
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,472317.2,472476,472304.9,472467.8,0.9999744,0.9999878
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,584907.1,585110.2,584850,585047,0.9998919,0.9999059
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,33205710,33217290,33203710,33215570,0.9999355,0.9999484
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,606121.8,606370.5,606154.5,606401.1,1.000048,1.000059
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,13311710,13324430,13312710,13326860,1.000075,1.000182
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,1008257,1008807,1008274,1008792,0.9999825,1.000018
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,96125570,96186290,96126430,96185710,0.9999851,1.000022
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,332.7318,332.9959,332.743,333.0112,1.000036,1.000054
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,24444.72,24465.11,24448.24,24467.91,1.000121,1.000146
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,4284412,4288306,4284676,4288453,1.000033,1.000062
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,40371000,40407430,40387290,40421860,1.000361,1.000407
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,1143470,1144414,1143643,1144562,1.000137,1.000157
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,230.9443,231.1843,231.0002,231.2533,1.00023,1.000292
