BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,447779.4,447868.1,447779,447863.9,0.9999833,1.000001
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1094959,1095214,1094915,1095161,0.9999478,0.99997
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,549608.2,549744.1,549583.8,549723.8,0.9999515,0.9999738
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1212719,1213016,1212774,1213070,1.000033,1.000054
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,331846.9,331939.1,331860.5,331947.8,1.000025,1.000054
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,321699.7,321786.2,321739.7,321819.8,1.000099,1.00013
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,974314.2,974571.2,974268.2,974523.6,0.9999512,0.9999658
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1056615,1056899,1056556,1056885,0.9999449,0.9999826
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,753690.9,753922.5,753633.4,753862.7,0.9999073,0.9999273
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1217553,1217919,1217579,1217948,1.000005,1.000038
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,544164.9,544343.3,544189.8,544357.8,0.9999963,1.000044
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,343290.6,343398.8,343289.4,343396.4,0.9999808,1
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,30298.61,30308.71,30299.06,30309.21,1.000001,1.000018
zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_writesTraceAndSpanIds,142715.8,142759.8,142702.5,142745.5,0.999895,0.9999109
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1212407,1212787,1212576,1212944,1.000124,1.000141
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays,515219.9,515369.7,515214.8,515382.5,0.9999925,1.000028
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,639669.2,639875.8,639684.3,639881.2,1.000007,1.000025
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4_compressed,358439.4,358555.6,358464,358575.2,1.000036,1.000079
zipkin2.v1.V1SpanTest._Benchmark.benchmark_annotationEndpoint_emptyToNull,1021303,1021654,1021351,1021703,1.000042,1.000074
zipkin2.internal.SpanNodeTest._Benchmark.benchmark_constructsTraceTree_dedupes,721322.4,721553.5,721346.5,721568.5,1.000017,1.000052
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_addr,848997.4,849273.9,849047.4,849312.9,1.000048,1.000069
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_specialCharsInJson_PROTO3,346221.2,346324.6,346205.1,346318.7,0.9999452,0.9999889
zipkin2.storage.QueryRequestTest._Benchmark.benchmark_test_minDuration,630970,631157.9,630924.8,631157.5,0.9999289,0.9999778
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4,367894.7,368022.5,367843.1,367964.2,0.9998269,0.9998615
zipkin2.storage.GroupByTraceIdTest._Benchmark.benchmark_map_modifiable,586916.4,587116.8,586970.2,587170.7,1.000069,1.000101
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_json_v2_partial_tag,660515.3,660759.4,660535.1,660766,0.9999898,1.000027
zipkin2.EndpointTest._Benchmark.benchmark_ipv6_notLocalhost,1085865,1086265,1085865,1086235,0.9999716,0.9999983
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,833740.9,834056.9,833703.4,833998.8,0.9999275,0.9999509
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spansRoundTrip_PROTO3,48026.61,48044.74,48023.37,48040.24,0.9999063,0.9999562
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_64bitTraceId_THRIFT,416967.7,417116.6,416955.8,417125.1,0.9999712,1.000015
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_mappedIpv4,346614.7,346727.6,346617.2,346735.2,1.000006,1.000035
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_THRIFT_shared,502431.9,502628.9,502447.4,502625,0.9999925,1.000031
