BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_eager_ec_1,8.753482,8.85174,8.680513,8.812162,0.9919736,0.9955723
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_ec_2,9.70641,9.80666,9.69164,9.795716,0.9978119,0.9988226
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk_3,3.758866,3.795731,3.761853,3.804836,1.000816,1.00245
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec_4,3.724152,3.788561,3.721725,3.780017,0.9976305,0.9992461
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec_5,4.824591,4.866626,4.822403,4.86673,0.9994135,1.000025
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec_6,4.779011,4.830171,4.777032,4.831577,0.9996028,1.000436
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk_7,5.672647,5.761852,5.694736,5.768326,1.001068,1.003858
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec_8,4.573412,4.658759,4.543174,4.619047,0.9910753,0.9934546
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec_9,15.74131,15.83656,15.67301,15.77139,0.9955418,0.9960927
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec_10,17.19386,17.2476,17.18666,17.23615,0.9994218,0.999605
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_jdk_11,31.68955,31.96704,31.70333,31.98583,1.000451,1.000993
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_streams_ec_12,34.89663,35.36506,34.87799,35.36758,0.9992117,1.00027
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_eager_ec_13,14.52684,14.76808,14.47632,14.6772,0.9944352,0.9966115
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_ec_14,14.41461,14.57044,14.38643,14.54335,0.9976274,0.9985096
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_jdk_15,15.88845,16.12914,15.89433,16.13051,0.999864,1.001378
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_streams_ec_16,19.05384,19.27456,19.0128,19.24951,0.9977511,0.9986279
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_eager_ec_17,17.18242,17.40725,17.23619,17.43162,1.001405,1.003192
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_ec_18,18.09968,18.15776,18.09888,18.1517,0.9996877,1.000009
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_jdk_19,30.98237,31.36077,30.98066,31.33866,0.9994553,1.000816
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_parallel_lazy_streams_ec_20,33.49008,33.9078,33.30012,33.75169,0.9938034,0.9958117
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_eager_ec_21,9.826899,9.898648,9.825066,9.906517,1.000001,1.000749
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_lazy_ec_22,9.813205,9.886452,9.829472,9.893486,1.000785,1.001658
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_lazy_jdk_23,12.21418,12.3564,12.18868,12.31716,0.9970314,0.9979117
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByProduct_serial_lazy_streams_ec_24,13.04182,13.29755,13.04617,13.3252,1.000308,1.002079
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_parallel_eager_ec_25,10.72089,10.87817,10.67719,10.83311,0.9956093,0.9962219
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_parallel_lazy_ec_26,11.20826,11.35097,11.20878,11.34562,0.9989121,1.000042
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByAccount_serial_eager_ec_27,5.803519,5.877192,5.823223,5.89187,1.001896,1.003562
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_parallel_eager_ec_28,23.21973,23.33959,23.15999,23.30291,0.9974674,0.9986762
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_parallel_lazy_ec_29,21.64354,21.85366,21.68854,21.89262,1.001534,1.002447
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByCategory_serial_eager_ec_30,20.4785,20.68485,20.51721,20.74058,1.001732,1.003034
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_parallel_eager_ec_31,22.43078,22.6675,22.46113,22.68678,1.00067,1.001148
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_parallel_lazy_ec_32,23.05626,23.31601,23.04184,23.33525,0.9992029,1.000825
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateInPlaceByProduct_serial_eager_ec_33,10.91511,11.03642,10.95262,11.05687,1.001923,1.003437
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_parallel_lazy_ec_34,716.1348,720.1211,716.1214,719.8655,0.9997033,1.00011
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_parallel_lazy_jdk_35,647.3917,651.4778,646.3269,650.296,0.9981725,0.9984329
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_parallel_lazy_streams_ec_36,949.081,968.3752,954.4139,971.3028,1.003305,1.006221
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_eager_ec_37,888.0944,899.4151,887.3085,898.2021,0.9989794,1.000525
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_lazy_ec_38,771.3005,776.3147,771.442,775.8473,0.9993725,1.000203
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_lazy_jdk_39,339.5461,343.892,338.3829,342.9509,0.9963014,0.9972835
org.eclipse.collections.impl.jmh.AllSatisfyTest.process_all_serial_lazy_streams_ec_40,481.569,483.4927,481.3721,483.3787,0.9993924,0.9997643
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_ec_41,1518.49,1521.735,1516.92,1521.276,0.9989355,0.9996887
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_jdk_42,735.0288,739.3897,735.2305,740.1254,1.000183,1.000807
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_streams_ec_43,457.3034,459.8741,457.3878,460.1656,1.00006,1.000592
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_eager_ec_44,1911.09,1983.613,1897.588,1962.903,0.9890623,0.9930375
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_lazy_ec_45,2097.817,2131.89,2104.817,2139.025,1.002667,1.003675
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_lazy_jdk_46,456.5311,459.2774,458.1736,460.1215,1.001925,1.003615
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_lazy_streams_ec_47,823.16,824.0596,823.1746,824.0884,0.9999609,1.000074
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_eager_ec_48,3.908158,3.928561,3.903889,3.924081,0.9989076,0.9992781
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_eager_forkjoin_ec_49,3.905329,3.939817,3.900554,3.937541,0.9984425,0.9994222
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_lazy_ec_50,1.696636,1.704945,1.69881,1.706045,1.000657,1.001267
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_lazy_jdk_51,1.756663,1.768864,1.75454,1.76781,0.9988226,0.9995793
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_lazy_streams_ec_52,0.7282449,0.7416071,0.7304641,0.7442237,1.002329,1.003837
org.eclipse.collections.impl.jmh.AnagramBagTest.serial_eager_ec_53,2.344385,2.36184,2.349899,2.36652,1.001562,1.002362
org.eclipse.collections.impl.jmh.AnagramBagTest.serial_lazy_jdk_54,1.975921,1.980193,1.974505,1.979829,0.999327,0.9998257
org.eclipse.collections.impl.jmh.AnagramBagTest.serial_lazy_streams_ec_55,2.552955,2.579832,2.562378,2.58901,1.003409,1.003998
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_eager_ec_56,4.608394,4.662842,4.623552,4.668927,1.001289,1.003724
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_eager_forkjoin_ec_57,4.705448,4.739354,4.699114,4.735545,0.9986213,0.9991137
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_lazy_jdk_58,2.140738,2.192266,2.142646,2.204072,1.001403,1.005558
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_lazy_streams_ec_59,2.068387,2.121978,2.075719,2.127847,1.002222,1.003964
org.eclipse.collections.impl.jmh.AnagramListTest.serial_eager_ec_60,2.847624,2.873555,2.847805,2.87571,0.999973,1.000693
org.eclipse.collections.impl.jmh.AnagramListTest.serial_lazy_jdk_61,3.277141,3.321479,3.268987,3.314859,0.9968639,0.997875
org.eclipse.collections.impl.jmh.AnagramListTest.serial_lazy_streams_ec_62,3.407487,3.429288,3.412129,3.431483,1.000737,1.001362
org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_eager_ec_63,4.44353,4.476917,4.446719,4.487267,1.000467,1.002469
org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_eager_forkjoin_ec_64,4.632935,4.679362,4.640417,4.681269,1.000408,1.001796
org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_lazy_ec_65,3.466952,3.490559,3.465425,3.489229,0.9994947,0.999825
org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_lazy_jdk_66,1.346494,1.410846,1.336814,1.396637,0.988693,0.9930115
org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_lazy_scala_67,1.629892,1.6722,1.629057,1.66909,0.9983842,0.9996133
org.eclipse.collections.impl.jmh.AnagramSetTest.parallel_lazy_streams_ec_68,0.4648528,0.468267,0.4643028,0.468153,0.9988168,0.9997566
org.eclipse.collections.impl.jmh.AnagramSetTest.serial_eager_ec_69,2.473006,2.483957,2.461532,2.479334,0.9954156,0.9981389
org.eclipse.collections.impl.jmh.AnagramSetTest.serial_eager_scala_70,1.305911,1.317845,1.305014,1.316128,0.9983271,0.9996461
org.eclipse.collections.impl.jmh.AnagramSetTest.serial_lazy_jdk_71,1.882278,1.889584,1.882289,1.888777,0.9996283,1.000041
org.eclipse.collections.impl.jmh.AnagramSetTest.serial_lazy_scala_72,1.956709,1.967639,1.957224,1.967278,0.9997733,1.00033
org.eclipse.collections.impl.jmh.AnagramSetTest.serial_lazy_streams_ec_73,1.95727,1.966363,1.959569,1.970042,1.001379,1.001921
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_parallel_lazy_ec_74,706.8756,710.9976,706.6261,710.6823,0.9993965,0.9998169
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_parallel_lazy_jdk_75,446.6736,448.5832,447.2217,448.9245,1.000768,1.001278
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_parallel_lazy_scala_76,397.9457,406.0646,399.1407,409.2049,1.003003,1.007638
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_parallel_lazy_streams_ec_77,408.151,409.3713,408.0347,409.3798,0.999708,1.000176
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_serial_eager_ec_78,889.2801,898.9392,888.6175,898.2603,0.9991613,0.9999228
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_serial_eager_scala_79,793.7458,806.9133,790.5875,803.5348,0.994981,0.9963225
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_serial_lazy_ec_80,849.1464,859.0493,853.7987,861.9316,1.003355,1.005712
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_serial_lazy_jdk_81,387.7419,397.8746,387.1709,396.4121,0.9965195,0.9984119
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_serial_lazy_scala_82,531.149,534.4818,531.4378,534.5678,1.000081,1.000591
org.eclipse.collections.impl.jmh.AnySatisfyTest.process_all_serial_lazy_streams_ec_83,429.3445,435.33,431.1287,436.3343,1.002268,1.004156
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_parallel_lazy_ec_84,1534.057,1535.714,1533.839,1535.355,0.9997664,0.9998737
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_parallel_lazy_jdk_85,499.2642,502.0544,498.8263,502.0948,0.9991607,1.000081
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_parallel_lazy_scala_86,409.079,415.0866,409.6804,416.9876,1.000789,1.00476
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_parallel_lazy_streams_ec_87,906.1432,908.1127,906.4702,908.4302,1.000277,1.000399
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_serial_eager_ec_88,1906.033,1969.684,1898.392,1967.471,0.9960811,0.9995234
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_serial_eager_scala_89,1519.821,1527.991,1517.994,1525.4,0.9980624,0.9988922
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_serial_lazy_ec_90,2230.844,2254.744,2238.569,2262.506,1.002899,1.003803
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_serial_lazy_jdk_91,486.5121,487.5029,486.0894,487.2396,0.9991057,0.9995015
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_serial_lazy_scala_92,1451.664,1455.24,1451.677,1455.349,0.9999572,1.000167
org.eclipse.collections.impl.jmh.AnySatisfyTest.short_circuit_middle_serial_lazy_streams_ec_93,573.6961,574.0348,573.5982,573.9439,0.9997952,0.9998544
org.eclipse.collections.impl.jmh.BagAddAllTest.ec_94,112.6734,112.6973,112.6791,112.7019,1.00004,1.000056
org.eclipse.collections.impl.jmh.BagAddAllTest.guava_95,75.3145,75.35552,75.28782,75.33321,0.9996546,0.9996956
org.eclipse.collections.impl.jmh.CollectIfTest.parallel_eager_ec_96,36.91739,37.98582,37.04498,37.97335,0.9989972,1.004138
