BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_ec_41,1517.013,1520.922,1518.302,1521.71,1.000558,1.00085
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_jdk_42,733.4481,737.7731,735.3183,739.5689,1.002141,1.002491
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_parallel_lazy_streams_ec_43,457.8653,460.3709,458.0184,460.3958,1.000193,1.000463
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_eager_ec_44,1887.29,1951.982,1917.724,1977.241,1.01252,1.017471
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_lazy_ec_45,2102.264,2133.553,2089.182,2123.411,0.9937257,0.9950359
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_lazy_jdk_46,457.5884,459.6971,457.459,459.6736,0.9996488,1.000023
org.eclipse.collections.impl.jmh.AllSatisfyTest.short_circuit_middle_serial_lazy_streams_ec_47,823.4484,824.2157,823.2156,824.0106,0.9996821,0.9997772
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_eager_ec_48,3.907249,3.923029,3.904831,3.9241,0.9993695,1.000273
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_eager_forkjoin_ec_49,3.901139,3.933703,3.904427,3.941942,1.000836,1.002052
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_lazy_ec_50,1.698268,1.705648,1.696877,1.70407,0.9989804,0.9992539
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_lazy_jdk_51,1.756636,1.76765,1.75408,1.765913,0.9987295,0.9992312
org.eclipse.collections.impl.jmh.AnagramBagTest.parallel_lazy_streams_ec_52,0.7301652,0.7423853,0.7370274,0.7496301,1.008849,1.00994
org.eclipse.collections.impl.jmh.AnagramBagTest.serial_eager_ec_53,2.343388,2.358738,2.345909,2.360375,1.00055,1.001236
org.eclipse.collections.impl.jmh.AnagramBagTest.serial_lazy_jdk_54,1.975563,1.979888,1.974045,1.978543,0.9992069,0.9994444
org.eclipse.collections.impl.jmh.AnagramBagTest.serial_lazy_streams_ec_55,2.560533,2.583702,2.555732,2.579798,0.9976514,0.9983916
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_eager_ec_56,4.615947,4.668037,4.621962,4.665572,0.9996741,1.001309
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_eager_forkjoin_ec_57,4.713608,4.745178,4.705311,4.736891,0.9981501,0.998437
org.eclipse.collections.impl.jmh.AnagramListTest.parallel_lazy_jdk_58,2.1398,2.192222,2.138447,2.181317,0.9953573,0.9997229
