BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_eager_ec_1,8.740011,8.808542,8.721333,8.788788,0.9972873,0.9979751
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_ec_2,9.707046,9.767926,9.707062,9.767493,0.9998548,1.000242
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_jdk_3,3.766648,3.791931,3.769624,3.795027,1.000646,1.001287
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_parallel_lazy_streams_ec_4,3.745571,3.78356,3.746873,3.787146,1.000462,1.001271
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_eager_ec_5,4.835845,4.85992,4.825952,4.851864,0.9979806,0.9983106
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_ec_6,4.798021,4.826306,4.794899,4.822959,0.9991536,0.9994901
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_jdk_7,5.722864,5.765806,5.705418,5.75292,0.996874,0.9975357
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByAccount_serial_lazy_streams_ec_8,4.561626,4.607114,4.575295,4.625857,1.002783,1.004068
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_eager_ec_9,15.72181,15.77384,15.71878,15.76364,0.9993535,0.999807
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_ec_10,17.19351,17.22226,17.202,17.23164,1.000533,1.000641
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_jdk_11,31.74687,31.93022,31.72757,31.88813,0.9985789,0.9994692
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_parallel_lazy_streams_ec_12,34.9477,35.22489,34.89921,35.1819,0.998649,0.9991827
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_eager_ec_13,14.5177,14.63047,14.52977,14.64406,1.000621,1.001014
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_ec_14,14.43799,14.52425,14.41954,14.50445,0.998692,0.9991014
org.eclipse.collections.impl.jmh.AggregateByTest.aggregateByCategory_serial_lazy_jdk_15,15.89893,16.04938,15.94743,16.09229,1.002851,1.003493
