BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,171612.6000000,172001.2000000,171513.8000000,171940.2000000,0.9994266,0.9996963
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,235961.6000000,236383.0000000,236130.5000000,236558.8000000,1.0006330,1.0007440
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,240920.1000000,241469.7000000,240779.6000000,241346.4000000,0.9992569,0.9994797
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,373447.3000000,374315.2000000,373978.0000000,374758.7000000,1.0011970,1.0014210
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,1140222.0000000,1140678.0000000,1140187.0000000,1140613.0000000,0.9999513,0.9999895
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,389108.5000000,389829.5000000,389062.7000000,389914.7000000,0.9999396,1.0002090
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1168695.0000000,1169077.0000000,1168802.0000000,1169203.0000000,1.0000720,1.0001070
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,1167266.0000000,1168199.0000000,1167397.0000000,1168264.0000000,1.0000640,1.0001100
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,459258.3000000,460618.7000000,459302.6000000,460683.3000000,1.0000220,1.0001450
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,15282.0700000,15319.7000000,15272.3900000,15311.5100000,0.9992878,0.9995158
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,14849.0800000,14893.1200000,14835.4200000,14881.1000000,0.9990935,0.9992786
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,14702.2400000,14748.9300000,14709.3000000,14756.4800000,1.0004730,1.0006390
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,15403.9500000,15448.6100000,15401.3700000,15445.8500000,0.9998155,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,14710.2400000,14741.3600000,14699.5700000,14733.7600000,0.9992824,0.9994726
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,38364.6800000,38710.6600000,38358.5300000,38677.4300000,0.9990110,0.9997074
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,43198.6300000,43325.5900000,43236.3300000,43358.6300000,1.0007630,1.0010440
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,41792.2100000,41915.5100000,41707.2800000,41837.3000000,0.9979191,0.9981078
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,42888.2100000,43024.4400000,42908.3900000,43046.5300000,1.0004710,1.0006810
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,38663.5600000,38992.6000000,38814.3400000,39141.6200000,1.0031930,1.0040050
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,39246.4200000,39349.0300000,39210.0400000,39309.1600000,0.9989869,0.9991718
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,22139.4800000,22189.1200000,22135.9800000,22184.8900000,0.9997579,0.9999408
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,28103.8500000,28284.6400000,28060.4300000,28255.5000000,0.9983275,0.9990652
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,29296.2800000,29385.8300000,29300.0800000,29389.1300000,1.0000640,1.0003100
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,40077.1600000,40192.3800000,40062.6700000,40171.9000000,0.9994135,0.9996441
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,39847.3500000,39968.9200000,39774.8000000,39898.0700000,0.9981710,0.9983131
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,39843.7400000,39976.8800000,39845.1800000,39980.8000000,1.0000110,1.0002510
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,40472.0300000,40615.3000000,40503.1100000,40636.7200000,1.0005000,1.0007390
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_28,39712.6200000,39858.1600000,39744.8300000,39894.3300000,1.0006760,1.0009070
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_29,38069.7500000,38443.1000000,38232.6000000,38589.9300000,1.0038190,1.0044540
io.reactivex.rxjava3.completable.CompletableTest.ambMultipleOneIsNull_30,14679.1100000,14727.4800000,14682.4000000,14729.5500000,1.0001540,1.0003640
io.reactivex.rxjava3.completable.CompletableTest.ambWithArrayOneFiresError_31,14982.5100000,15033.8800000,14959.6500000,15017.4000000,0.9984625,0.9988715
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFires_32,14437.6900000,14486.9700000,14447.0400000,14491.9800000,1.0003020,1.0005590
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_33,14528.6100000,14579.7700000,14553.4100000,14603.7300000,1.0016120,1.0018590
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_34,22415.9400000,22483.5400000,22415.2000000,22482.6200000,0.9998984,1.0000490
io.reactivex.rxjava3.completable.CompletableTest.andThen_35,20182.1400000,20242.5600000,20186.0400000,20241.2700000,0.9999636,1.0002600
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_36,20872.3700000,20947.7300000,20872.7300000,20941.5900000,0.9998528,1.0001940
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_37,17327.5900000,17381.9600000,17333.8200000,17385.2100000,1.0001020,1.0003790
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableNormal_38,39933.1200000,40056.8600000,39948.7600000,40059.7700000,1.0001320,1.0003800
io.reactivex.rxjava3.completable.CompletableTest.andThenError_39,39731.3700000,39872.8800000,39775.7400000,39917.6400000,1.0009380,1.0011600
io.reactivex.rxjava3.completable.CompletableTest.andThenError_40,73866.3700000,74020.4300000,73837.3600000,73980.5300000,0.9994640,0.9995896
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_41,74499.1800000,74759.7300000,74523.8400000,74776.3900000,1.0000740,1.0003030
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_42,80535.4700000,80724.5400000,80506.2000000,80685.4100000,0.9995306,0.9997174
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_43,84559.3100000,84827.6900000,84601.0200000,84863.9300000,1.0003830,1.0005660
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_44,49334.8900000,49477.1700000,49385.6900000,49520.6100000,1.0007390,1.0010300
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_45,43001.4600000,43123.7200000,42992.3600000,43114.4300000,0.9997328,0.9998750
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_46,40627.8700000,40739.4700000,40677.7200000,40775.5200000,1.0009910,1.0012080
io.reactivex.rxjava3.completable.CompletableTest.andThenSingle_47,40211.5600000,40449.3500000,40262.0300000,40513.8300000,1.0011830,1.0016010
io.reactivex.rxjava3.completable.CompletableTest.andThenSingle_48,42932.2000000,43054.5000000,42953.9600000,43075.7000000,1.0003010,1.0004720
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_49,39450.6200000,39580.2700000,39454.1800000,39585.0500000,1.0000560,1.0002790
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_50,38023.9900000,38213.8000000,37871.8600000,38064.1400000,0.9958784,0.9962157
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_51,41412.6200000,41535.9300000,41408.5000000,41538.8500000,0.9999006,1.0001090
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_52,42243.0100000,42380.7900000,42241.8000000,42382.6100000,0.9998319,1.0000440
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_53,40470.0700000,40623.6100000,40452.5500000,40620.2400000,0.9995169,1.0000230
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_54,44159.1200000,44329.5100000,44137.9300000,44279.8700000,0.9990507,0.9994748
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleSubscribeOn_55,39295.7500000,39560.9800000,39313.7900000,39590.0300000,1.0004590,1.0010710
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleSubscribeOn_56,41703.8800000,41829.3800000,41746.6100000,41853.4100000,1.0005680,1.0010800
io.reactivex.rxjava3.completable.CompletableTest.andThenSubscribeOn_57,40121.8000000,40254.1800000,40105.9800000,40234.9700000,0.9994292,0.9996519
io.reactivex.rxjava3.completable.CompletableTest.andThenSubscribeOn_58,42030.7200000,42161.2000000,42047.3200000,42170.0300000,1.0002090,1.0005600
io.reactivex.rxjava3.completable.CompletableTest.as_59,42387.0800000,42543.1500000,42385.4300000,42535.3600000,0.9997498,0.9999519
io.reactivex.rxjava3.completable.CompletableTest.as_60,71164.6500000,71354.4800000,71105.1400000,71286.1400000,0.9990422,0.9991946
io.reactivex.rxjava3.completable.CompletableTest.asNormal_61,76186.5300000,76713.8400000,75983.6100000,76532.2400000,0.9973364,0.9976848
io.reactivex.rxjava3.completable.CompletableTest.asNormal_62,69881.4900000,70539.0500000,69676.3600000,70412.3600000,0.9970646,0.9980403
io.reactivex.rxjava3.completable.CompletableTest.asNormal_63,42729.4600000,42902.3300000,42741.7600000,42904.7700000,1.0001740,1.0003530
io.reactivex.rxjava3.completable.CompletableTest.complete_64,22084.0200000,22203.8000000,22094.7600000,22204.5000000,0.9999358,1.0003100
io.reactivex.rxjava3.completable.CompletableTest.composeNormal_65,41649.4100000,41917.3100000,41674.3600000,41950.0800000,1.0000800,1.0008480
io.reactivex.rxjava3.completable.CompletableTest.concatIterableEmpty_66,37520.6400000,37620.6700000,37523.1700000,37621.9100000,0.9998775,1.0001660
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIterableThrows_67,43161.9400000,43319.4300000,43107.0100000,43288.6200000,0.9988222,0.9993112
