BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,171355.3000000,172101.5000000,171421.5000000,172100.5000000,1.0000110,1.0003860
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,235699.2000000,236464.5000000,235903.9000000,236672.0000000,1.0007690,1.0009550
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,240523.3000000,241640.9000000,240713.7000000,241661.1000000,1.0001630,1.0007790
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,373429.3000000,374895.0000000,373235.2000000,374749.5000000,0.9993375,0.9997425
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,1139966.0000000,1140741.0000000,1139971.0000000,1140737.0000000,0.9999301,0.9999977
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,389085.3000000,390446.9000000,388746.6000000,390235.5000000,0.9990609,0.9994167
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1168767.0000000,1169468.0000000,1168550.0000000,1169259.0000000,0.9998159,0.9998577
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,1167089.0000000,1168691.0000000,1167143.0000000,1168673.0000000,0.9999738,1.0000600
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,459102.5000000,461488.5000000,458165.1000000,460584.4000000,0.9977721,0.9981380
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,15250.6800000,15320.9600000,15272.9900000,15339.1600000,1.0011780,1.0015310
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,14847.2900000,14929.5100000,14824.9100000,14904.4300000,0.9982371,0.9986623
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,14693.0800000,14775.7400000,14675.4200000,14756.8700000,0.9986688,0.9990487
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,15395.5800000,15471.6500000,15384.7300000,15468.9000000,0.9991497,0.9997602
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,14683.9700000,14743.0800000,14687.1100000,14743.6100000,0.9999545,1.0003430
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,38278.7000000,38810.0000000,38098.8300000,38704.4500000,0.9953926,0.9976112
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,43237.1500000,43422.2300000,43162.3000000,43364.5600000,0.9982624,0.9988623
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,41736.6800000,41949.3100000,41686.2100000,41927.7700000,0.9988244,0.9998112
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,42839.9700000,43078.8500000,42860.4100000,43105.9400000,1.0003330,1.0007160
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,38689.0300000,39218.6200000,38699.3500000,39198.2800000,0.9990986,1.0005130
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,39143.9800000,39346.3700000,39157.6300000,39348.6600000,1.0000930,1.0005810
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,22097.6800000,22187.0700000,22128.3700000,22213.2000000,1.0011720,1.0014140
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,28017.0100000,28346.1500000,27996.3900000,28347.8000000,0.9995065,1.0002200
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,29260.0600000,29422.2600000,29264.5800000,29420.1200000,0.9999580,1.0002720
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,40069.2900000,40275.6500000,40031.5800000,40233.3800000,0.9988196,0.9991456
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,39728.0500000,39970.1300000,39788.7200000,40010.6400000,1.0009770,1.0015090
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,39773.7100000,40008.7700000,39853.9100000,40074.5100000,1.0014450,1.0019870
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,40500.7900000,40730.7800000,40424.6600000,40663.3200000,0.9979861,0.9985239
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_28,39666.2300000,39925.1900000,39686.6100000,39936.6300000,1.0003590,1.0006180
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_29,37962.0400000,38613.8800000,38110.4700000,38716.0600000,1.0026450,1.0043030
io.reactivex.rxjava3.completable.CompletableTest.ambMultipleOneIsNull_30,14646.7400000,14734.3700000,14674.9600000,14756.3500000,1.0014830,1.0020610
io.reactivex.rxjava3.completable.CompletableTest.ambWithArrayOneFiresError_31,14952.2800000,15044.0800000,14930.4300000,15035.5800000,0.9985078,0.9993636
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFires_32,14430.8700000,14511.6200000,14400.8600000,14484.2900000,0.9977774,0.9981285
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_33,14529.9300000,14612.3500000,14492.2600000,14590.4800000,0.9975524,0.9985244
