BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,171075.9000000,172218.9000000,171299.2000000,172357.9000000,1.0009050,1.0014540
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,235827.8000000,236922.8000000,235700.8000000,236778.5000000,0.9992126,0.9996122
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,240599.8000000,242121.8000000,240063.5000000,241580.0000000,0.9975878,0.9982390
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,373198.0000000,375405.6000000,373879.2000000,375682.1000000,1.0007690,1.0018230
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,1139466.0000000,1140859.0000000,1140251.0000000,1141385.0000000,1.0004810,1.0006960
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,387967.6000000,390002.1000000,389358.8000000,391077.3000000,1.0027570,1.0035680
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1168471.0000000,1169365.0000000,1168392.0000000,1169403.0000000,0.9999330,1.0000180
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,1166417.0000000,1168807.0000000,1166949.0000000,1169116.0000000,1.0002560,1.0004910
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,458500.8000000,462234.5000000,457993.5000000,461732.3000000,0.9986433,0.9991685
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,15243.0200000,15341.8100000,15244.2100000,15346.3000000,0.9996718,1.0003850
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,14810.0000000,14935.8500000,14831.1700000,14942.1400000,1.0006350,1.0019560
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,14647.0800000,14779.3600000,14621.9700000,14758.4000000,0.9981993,0.9988213
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,15283.7500000,15420.7500000,15315.6700000,15448.3500000,1.0017900,1.0023360
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,14674.4900000,14757.2700000,14713.0600000,14792.5500000,1.0022010,1.0026130
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,37811.7700000,38727.9200000,38161.3400000,39086.3700000,1.0086080,1.0104220
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,43225.5900000,43488.5100000,43075.3400000,43421.1200000,0.9966953,0.9984504
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,41630.6600000,41978.8800000,41649.9900000,41976.9400000,0.9997655,1.0003280
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,42786.9600000,43155.6000000,42862.0300000,43189.4300000,1.0008640,1.0021730
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,38789.6100000,39554.8000000,38329.5700000,39121.8400000,0.9869966,0.9898009
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,39114.2800000,39399.5800000,39146.3000000,39442.8200000,1.0006390,1.0012070
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,22111.1400000,22242.9700000,22131.8000000,22255.9900000,1.0004250,1.0009150
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,27802.0300000,28322.4700000,27816.5600000,28307.3300000,0.9995349,1.0010690
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,29179.5100000,29424.3500000,29283.1300000,29485.2200000,1.0020690,1.0035510
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,39976.9200000,40262.2400000,40084.7300000,40345.0800000,1.0019630,1.0027250
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,39609.7100000,39986.0600000,39617.9800000,39992.3400000,1.0000960,1.0006410
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,39614.4700000,39977.9700000,39716.5100000,40072.3900000,1.0023510,1.0029670
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,40276.1800000,40654.6500000,40398.9700000,40739.9400000,1.0018460,1.0030200
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_28,39662.0600000,40030.5800000,39454.0100000,39913.4900000,0.9947545,0.9969548
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_29,37951.2900000,38890.3400000,37845.9200000,38822.6100000,0.9972076,0.9989990
