BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,171554.7000000,171999.2000000,171579.1000000,172052.7000000,1.0001110,1.0003040
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,235973.8000000,236444.2000000,236118.4000000,236645.9000000,1.0006860,1.0008680
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,240711.8000000,241405.6000000,240790.6000000,241430.4000000,1.0000700,1.0003270
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,373852.9000000,374724.7000000,373503.1000000,374443.7000000,0.9990642,0.9992389
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,1140219.0000000,1140725.0000000,1140105.0000000,1140581.0000000,0.9998515,0.9998995
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,389128.3000000,389946.6000000,388995.6000000,389888.4000000,0.9995850,0.9998324
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1168718.0000000,1169138.0000000,1168806.0000000,1169246.0000000,1.0000680,1.0000880
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,1167129.0000000,1168178.0000000,1167588.0000000,1168588.0000000,1.0003490,1.0004130
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,459497.6000000,461023.2000000,459106.6000000,460589.5000000,0.9990947,0.9992826
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,15271.5500000,15311.7800000,15286.0300000,15328.5400000,1.0009250,1.0011250
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,14827.8400000,14880.2900000,14842.9600000,14893.7200000,1.0008070,1.0011100
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,14721.1000000,14773.5000000,14698.3900000,14747.1000000,0.9980556,0.9984730
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,15407.8800000,15460.8500000,15400.6200000,15450.1100000,0.9992207,0.9994988
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,14698.1400000,14731.6600000,14708.3400000,14743.2600000,1.0006110,1.0007140
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,38393.7200000,38716.9100000,38406.9300000,38748.4900000,1.0002430,1.0009120
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,43202.8900000,43336.4200000,43160.5600000,43310.9400000,0.9990201,0.9994006
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,41743.9900000,41889.3800000,41741.9500000,41881.7900000,0.9998697,1.0001580
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,42891.9700000,43031.2400000,42876.6200000,43028.8400000,0.9996317,0.9999893
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,38762.4000000,39118.5600000,38736.7400000,39109.2200000,0.9992659,0.9998195
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,39203.5200000,39324.6800000,39220.6600000,39336.3200000,1.0003050,1.0005540
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,22130.9700000,22182.7600000,22144.1700000,22193.0300000,1.0004210,1.0006640
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,28086.5600000,28285.1000000,28070.9900000,28274.1700000,0.9992854,0.9998026
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,29299.3000000,29392.5700000,29286.2800000,29383.4800000,0.9994672,0.9997211
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,40045.2600000,40169.5900000,40071.0800000,40190.6600000,1.0005410,1.0007100
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,39839.4900000,39979.6600000,39776.7900000,39915.3500000,0.9982910,0.9984921
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,39827.0400000,39972.1500000,39854.3200000,39989.7000000,1.0004170,1.0008440
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,40483.2700000,40627.2300000,40482.4400000,40627.0000000,0.9998582,1.0001290
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_28,39714.9600000,39868.8700000,39721.2300000,39877.0700000,1.0001210,1.0003100
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_29,38118.6300000,38514.6200000,38085.5000000,38514.8700000,0.9991346,1.0003670
io.reactivex.rxjava3.completable.CompletableTest.ambMultipleOneIsNull_30,14689.0600000,14742.1800000,14676.8700000,14730.1500000,0.9990894,0.9993148
io.reactivex.rxjava3.completable.CompletableTest.ambWithArrayOneFiresError_31,14968.8900000,15027.5700000,14959.4200000,15019.7100000,0.9992444,0.9995560
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFires_32,14441.6800000,14493.3200000,14442.7900000,14493.5900000,0.9997647,1.0001540
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_33,14537.0900000,14594.6300000,14537.6200000,14592.8600000,0.9996199,1.0001720
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_34,22405.0600000,22483.1100000,22419.1800000,22497.1000000,1.0004550,1.0007940
io.reactivex.rxjava3.completable.CompletableTest.andThen_35,20173.9100000,20237.6900000,20192.7600000,20257.0800000,1.0007930,1.0011150
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_36,20883.0100000,20959.0200000,20863.6900000,20934.9300000,0.9988168,0.9990751
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_37,17307.7300000,17374.5400000,17333.7200000,17397.1500000,1.0012490,1.0015530
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableNormal_38,39955.2600000,40087.8100000,39910.3400000,40041.8400000,0.9987487,0.9989819
io.reactivex.rxjava3.completable.CompletableTest.andThenError_39,39718.4400000,39876.7000000,39744.1100000,39896.8100000,1.0003660,1.0006460
io.reactivex.rxjava3.completable.CompletableTest.andThenError_40,73839.0700000,74022.5900000,73835.6700000,74017.2300000,0.9998237,1.0000230
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_41,74554.0800000,74802.7900000,74533.4600000,74804.0800000,0.9997093,0.9999823
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_42,80495.1000000,80690.4700000,80525.7600000,80730.4500000,1.0003990,1.0005440
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_43,84526.8700000,84831.1300000,84572.4100000,84876.2400000,1.0003890,1.0006020
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_44,49321.5300000,49470.7900000,49353.6500000,49518.5500000,1.0006010,1.0009650
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_45,42985.1400000,43122.9600000,43023.0600000,43149.6800000,1.0005850,1.0008760
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_46,40669.0800000,40785.8300000,40637.0000000,40756.1600000,0.9991431,0.9994194
io.reactivex.rxjava3.completable.CompletableTest.andThenSingle_47,40249.7100000,40510.5400000,40147.1600000,40438.2700000,0.9971966,0.9980858
io.reactivex.rxjava3.completable.CompletableTest.andThenSingle_48,42913.3600000,43052.4500000,42935.2800000,43075.0100000,1.0004270,1.0005770
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_49,39429.5200000,39561.2700000,39451.0300000,39594.0100000,1.0004310,1.0008680
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_50,37934.6300000,38143.1300000,37914.9200000,38125.9900000,0.9995725,0.9999686
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_51,41419.6400000,41542.3900000,41380.5300000,41518.0700000,0.9990321,0.9994146
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_52,42246.0500000,42393.1300000,42224.7300000,42383.6300000,0.9994753,0.9999495
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_53,40423.4700000,40591.0800000,40487.0700000,40672.3800000,1.0015500,1.0023510
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_54,44178.2400000,44332.6500000,44151.9000000,44311.1200000,0.9993330,0.9995414
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleSubscribeOn_55,39375.6800000,39660.4700000,39180.4800000,39476.9100000,0.9946853,0.9955015
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleSubscribeOn_56,41767.2700000,41880.4900000,41688.1000000,41810.1200000,0.9981139,0.9985122
io.reactivex.rxjava3.completable.CompletableTest.andThenSubscribeOn_57,40114.8000000,40250.5000000,40076.6000000,40221.1900000,0.9990103,0.9994509
io.reactivex.rxjava3.completable.CompletableTest.andThenSubscribeOn_58,42032.8700000,42172.4500000,42023.9300000,42175.9100000,0.9997796,1.0001810
io.reactivex.rxjava3.completable.CompletableTest.as_59,42353.6500000,42531.3900000,42338.9500000,42513.2800000,0.9995082,0.9997838
io.reactivex.rxjava3.completable.CompletableTest.as_60,71108.4800000,71327.7500000,71115.5900000,71313.1400000,0.9998238,1.0000850
io.reactivex.rxjava3.completable.CompletableTest.asNormal_61,76000.9900000,76549.8600000,76140.6300000,76721.8100000,1.0017170,1.0022460
io.reactivex.rxjava3.completable.CompletableTest.asNormal_62,69938.6600000,70679.7700000,69652.0300000,70397.8100000,0.9956144,0.9963887
io.reactivex.rxjava3.completable.CompletableTest.asNormal_63,42785.8500000,42973.1500000,42694.6900000,42886.7300000,0.9976908,0.9981291
io.reactivex.rxjava3.completable.CompletableTest.complete_64,22095.7700000,22215.6700000,22079.9200000,22202.2700000,0.9991273,0.9994940
io.reactivex.rxjava3.completable.CompletableTest.composeNormal_65,41659.8500000,42003.3300000,41641.2900000,41979.7700000,0.9990433,0.9997047
io.reactivex.rxjava3.completable.CompletableTest.concatIterableEmpty_66,37517.4800000,37625.1900000,37499.3900000,37610.8800000,0.9995177,0.9996982
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIterableThrows_67,43135.4600000,43305.5800000,43130.3000000,43316.9000000,0.9998927,1.0002550
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIterableThrows_68,37526.7600000,37658.4000000,37558.9900000,37692.5900000,1.0006430,1.0009650
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIteratorHasNextThrows_69,38000.1900000,38126.0600000,37973.0200000,38123.5000000,0.9993467,0.9998130
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIteratorNull_70,17844.3700000,17922.8000000,17848.7800000,17926.1800000,1.0002040,1.0004350
io.reactivex.rxjava3.completable.CompletableTest.concatIterableMany_71,19879.5400000,19953.3500000,19891.3500000,19965.0900000,1.0003290,1.0007130
io.reactivex.rxjava3.completable.CompletableTest.concatIterableManyOneThrows_72,19436.9800000,19537.4800000,19414.6600000,19523.3400000,0.9988518,0.9991851
