BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,171518.9000000,172353.4000000,171037.6000000,171990.9000000,0.9970227,0.9978373
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,235841.9000000,236702.4000000,235829.2000000,236638.1000000,0.9996405,0.9999462
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,240904.0000000,241954.5000000,240294.0000000,241485.0000000,0.9974626,0.9981073
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,373281.4000000,374909.1000000,373486.2000000,375111.7000000,1.0004570,1.0006490
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,1139921.0000000,1140925.0000000,1139876.0000000,1140789.0000000,0.9998733,0.9999682
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,388988.7000000,390499.1000000,389253.5000000,390691.8000000,1.0003660,1.0006650
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1168505.0000000,1169207.0000000,1168486.0000000,1169282.0000000,0.9999843,1.0000590
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,1167021.0000000,1168741.0000000,1166781.0000000,1168697.0000000,0.9997851,0.9999196
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,458461.4000000,461006.6000000,459349.7000000,461974.7000000,1.0017790,1.0020930
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,15293.8100000,15360.0700000,15235.1100000,15314.0000000,0.9961618,0.9971298
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,14824.4400000,14925.5800000,14811.4100000,14900.6900000,0.9982958,0.9990056
