BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,0.1566905,0.1566937,0.1566896,0.1566938,0.9999937,1.0000010
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,0.5438759,0.5439011,0.5438869,0.5439075,1.0000120,1.0000250
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,0.2234700,0.2234756,0.2234715,0.2234769,1.0000050,1.0000080
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,0.5820410,0.5820608,0.5820424,0.5820613,1.0000020,1.0000080
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,0.2117600,0.2117649,0.2117609,0.2117656,1.0000030,1.0000060
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,0.8338474,0.8338781,0.8338399,0.8338719,0.9999862,0.9999944
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1.1199800,1.1200280,1.1199600,1.1200130,0.9999834,0.9999906
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,2.2563470,2.2563970,2.2563450,2.2564010,0.9999961,1.0000030
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,0.8322215,0.8322428,0.8322232,0.8322447,0.9999983,1.0000020
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,2.1994900,2.1995830,2.1995110,2.1996110,1.0000050,1.0000130
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,2.1295010,2.1295860,2.1295220,2.1295870,1.0000020,1.0000100
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,1.9231460,1.9232360,1.9231660,1.9232480,1.0000070,1.0000140
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,2.1159260,2.1159720,2.1159230,2.1159750,0.9999993,1.0000030
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,1.9202130,1.9202800,1.9202200,1.9202900,1.0000010,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,2.0390170,2.0390830,2.0390000,2.0390670,0.9999901,0.9999949
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,1.9186950,1.9187620,1.9186750,1.9187460,0.9999855,0.9999922
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,2.7361750,2.7362610,2.7361610,2.7362810,0.9999934,1.0000080
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,0.2280428,0.2280531,0.2280432,0.2280542,0.9999979,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,2.0404250,2.0404850,2.0404090,2.0404660,0.9999909,0.9999950
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,2.1066120,2.1066850,2.1066130,2.1066900,0.9999976,1.0000040
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,1.9447840,1.9448440,1.9447920,1.9448630,1.0000080,1.0000120
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,5.5198570,5.5200780,5.5198730,5.5200370,0.9999918,1.0000030
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,2.1526490,2.1527160,2.1526600,2.1527230,1.0000020,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,0.5929952,0.5930234,0.5929974,0.5930230,0.9999995,1.0000090
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,2.0389240,2.0389980,2.0388920,2.0389670,0.9999840,0.9999895
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,2.6467700,2.6468670,2.6467610,2.6468320,0.9999913,0.9999991
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,5.8019700,5.8021970,5.8019770,5.8021830,0.9999942,1.0000030
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_28,0.5728203,0.5728413,0.5728217,0.5728403,0.9999990,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_29,5.7914060,5.7915790,5.7913950,5.7915960,0.9999962,1.0000030
io.reactivex.rxjava3.completable.CompletableTest.ambMultipleOneIsNull_30,0.5441542,0.5441730,0.5441510,0.5441730,0.9999928,1.0000020
io.reactivex.rxjava3.completable.CompletableTest.ambWithArrayOneFiresError_31,2.1537670,2.1538280,2.1537470,2.1538240,0.9999890,0.9999980
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFires_32,2.0730270,2.0730940,2.0730060,2.0730680,0.9999857,0.9999908
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_33,2.3651270,2.3652160,2.3651330,2.3652080,0.9999959,1.0000130
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_34,2.0781890,2.0782850,2.0782160,2.0783090,1.0000060,1.0000140
io.reactivex.rxjava3.completable.CompletableTest.andThen_35,10.9070100,10.9073400,10.9069700,10.9073400,0.9999966,1.0000050
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_36,0.2302913,0.2302999,0.2302918,0.2303022,1.0000010,1.0000100
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_37,2.2410120,2.2411110,2.2410410,2.2411390,1.0000130,1.0000200
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableNormal_38,5.6046220,5.6048450,5.6046430,5.6048700,1.0000020,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.andThenError_39,0.5584929,0.5585174,0.5584982,0.5585210,1.0000060,1.0000110
io.reactivex.rxjava3.completable.CompletableTest.andThenError_40,1.9868360,1.9868990,1.9868320,1.9868930,0.9999941,0.9999990
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_41,10.8085100,10.8088500,10.8086500,10.8089800,1.0000080,1.0000140
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_42,2.0253910,2.0254850,2.0254280,2.0255220,1.0000080,1.0000200
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_43,1.0997580,1.0998130,1.0997490,1.0998040,0.9999877,0.9999947
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_44,2.8670400,2.8671230,2.8669830,2.8670710,0.9999816,0.9999876
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_45,1.9830760,1.9831570,1.9830510,1.9831200,0.9999842,0.9999901
