BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingPredicate_1,0.1566902,0.1566934,0.1566898,0.1566933,0.9999960,0.9999998
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithMatchingRetryAmount_2,0.5438849,0.5439032,0.5438873,0.5439018,0.9999974,1.0000060
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithNotMatchingRetryAmount_3,0.2234708,0.2234764,0.2234706,0.2234764,0.9999989,1.0000030
io.reactivex.rxjava3.completable.CompletableRetryTest.retryTimesPredicateWithZeroRetries_4,0.5820428,0.5820612,0.5820384,0.5820552,0.9999909,0.9999958
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseEmpty_5,0.2117609,0.2117654,0.2117606,0.2117650,0.9999976,1.0000010
io.reactivex.rxjava3.completable.CompletableRetryTest.untilFalseError_6,0.8338515,0.8338733,0.8338509,0.8338759,0.9999993,1.0000030
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_7,1.1199660,1.1200080,1.1199820,1.1200210,1.0000100,1.0000140
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueEmpty_8,2.2563540,2.2564100,2.2563560,2.2564070,0.9999963,1.0000030
io.reactivex.rxjava3.completable.CompletableRetryTest.untilTrueError_9,0.8322228,0.8322469,0.8322267,0.8322458,0.9999985,1.0000090
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFires_10,2.1994880,2.1995580,2.1994900,2.1995850,1.0000010,1.0000120
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_11,2.1295220,2.1295870,2.1295010,2.1295650,0.9999875,0.9999917
io.reactivex.rxjava3.completable.CompletableTest.ambArrayOneFiresError_12,1.9231520,1.9232210,1.9231730,1.9232380,1.0000080,1.0000110
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFires_13,2.1159340,2.1159760,2.1159240,2.1159620,0.9999923,0.9999950
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_14,1.9202140,1.9202820,1.9202170,1.9202870,1.0000020,1.0000130
io.reactivex.rxjava3.completable.CompletableTest.ambArraySecondFiresError_15,2.0389890,2.0390460,2.0390220,2.0390650,1.0000090,1.0000170
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleError_16,1.9186940,1.9187530,1.9186660,1.9187250,0.9999803,0.9999872
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_17,2.7362110,2.7362990,2.7361430,2.7362400,0.9999750,0.9999829
io.reactivex.rxjava3.completable.CompletableTest.ambArraySingleNormal_18,0.2280449,0.2280524,0.2280438,0.2280541,0.9999950,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.ambIterableEmpty_19,2.0404230,2.0404810,2.0404340,2.0404860,1.0000010,1.0000050
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorHasNextThrows_20,2.1066220,2.1066860,2.1066020,2.1066580,0.9999866,0.9999908
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNextThrows_21,1.9447950,1.9448520,1.9448030,1.9448580,1.0000020,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.ambIterableIteratorNull_22,5.5198800,5.5200630,5.5198230,5.5200010,0.9999892,0.9999957
io.reactivex.rxjava3.completable.CompletableTest.ambIterableManyOneThrows_23,2.1526580,2.1527190,2.1526430,2.1527050,0.9999900,0.9999934
io.reactivex.rxjava3.completable.CompletableTest.ambIterableSingle_24,0.5929934,0.5930176,0.5929966,0.5930186,1.0000010,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_25,2.0389000,2.0389730,2.0389390,2.0390110,1.0000150,1.0000200
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_26,2.6467720,2.6468310,2.6467710,2.6468460,0.9999999,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_27,5.8019450,5.8021390,5.8019880,5.8022010,1.0000100,1.0000170
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_28,0.5728276,0.5728439,0.5728185,0.5728352,0.9999837,0.9999889
io.reactivex.rxjava3.completable.CompletableTest.ambIterableWithNull_29,5.7914000,5.7915420,5.7914080,5.7915600,1.0000020,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.ambMultipleOneIsNull_30,0.5441486,0.5441685,0.5441616,0.5441807,1.0000190,1.0000240
io.reactivex.rxjava3.completable.CompletableTest.ambWithArrayOneFiresError_31,2.1537480,2.1538100,2.1537530,2.1538300,1.0000010,1.0000090
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFires_32,2.0730150,2.0730700,2.0730210,2.0730800,1.0000020,1.0000050
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_33,2.3651260,2.3652160,2.3651050,2.3651890,0.9999887,0.9999957
io.reactivex.rxjava3.completable.CompletableTest.ambWithArraySecondFiresError_34,2.0782010,2.0782810,2.0782110,2.0782850,0.9999970,1.0000060
io.reactivex.rxjava3.completable.CompletableTest.andThen_35,10.9070000,10.9073800,10.9070400,10.9073800,0.9999994,1.0000070
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_36,0.2302926,0.2303002,0.2302939,0.2303031,1.0000050,1.0000120
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableError_37,2.2410530,2.2411320,2.2410440,2.2411300,0.9999947,1.0000030
io.reactivex.rxjava3.completable.CompletableTest.andThenCompletableNormal_38,5.6046430,5.6048220,5.6046210,5.6047800,0.9999923,0.9999967
io.reactivex.rxjava3.completable.CompletableTest.andThenError_39,0.5584903,0.5585118,0.5585020,0.5585219,1.0000140,1.0000230
io.reactivex.rxjava3.completable.CompletableTest.andThenError_40,1.9868550,1.9869290,1.9868430,1.9869200,0.9999927,0.9999970
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_41,10.8086700,10.8090500,10.8085400,10.8088900,0.9999854,0.9999920
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableError_42,2.0254110,2.0255040,2.0254190,2.0254890,0.9999926,1.0000040
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_43,1.0997490,1.0998000,1.0997610,1.0998050,1.0000060,1.0000110
io.reactivex.rxjava3.completable.CompletableTest.andThenFlowableNormal_44,2.8670230,2.8671050,2.8670180,2.8671150,0.9999949,1.0000040
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_45,1.9830620,1.9831450,1.9830680,1.9831560,1.0000010,1.0000080
io.reactivex.rxjava3.completable.CompletableTest.andThenNever_46,5.3848320,5.3850070,5.3848330,5.3850550,1.0000020,1.0000090
io.reactivex.rxjava3.completable.CompletableTest.andThenSingle_47,3.8227710,3.8229410,3.8227790,3.8229400,0.9999937,1.0000020
io.reactivex.rxjava3.completable.CompletableTest.andThenSingle_48,2.1854770,2.1855460,2.1854450,2.1855320,0.9999843,0.9999936
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_49,5.5926860,5.5928820,5.5927820,5.5930250,1.0000170,1.0000270
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_50,1.1734790,1.1735090,1.1734630,1.1734960,0.9999843,0.9999891
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleError_51,0.5257545,0.5257679,0.5257559,0.5257701,0.9999992,1.0000040
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_52,0.5301980,0.5302232,0.5302043,0.5302264,1.0000080,1.0000160
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_53,1.0891510,1.0891810,1.0891540,1.0891860,0.9999989,1.0000090
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleNever_54,112.1490000,112.1540000,112.1486000,112.1537000,0.9999945,1.0000030
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleSubscribeOn_55,2.2346430,2.2347360,2.2346390,2.2347240,0.9999945,1.0000010
io.reactivex.rxjava3.completable.CompletableTest.andThenSingleSubscribeOn_56,2.1782510,2.1783550,2.1782560,2.1783390,0.9999939,1.0000080
io.reactivex.rxjava3.completable.CompletableTest.andThenSubscribeOn_57,2.2730540,2.2731250,2.2730780,2.2731520,1.0000080,1.0000130
io.reactivex.rxjava3.completable.CompletableTest.andThenSubscribeOn_58,1.5149910,1.5150540,1.5149740,1.5150340,0.9999859,0.9999919
io.reactivex.rxjava3.completable.CompletableTest.as_59,1.1128950,1.1129280,1.1128680,1.1129100,0.9999755,0.9999843
io.reactivex.rxjava3.completable.CompletableTest.as_60,1.0708160,1.0708570,1.0708160,1.0708590,0.9999989,1.0000050
io.reactivex.rxjava3.completable.CompletableTest.asNormal_61,2.3798610,2.3799500,2.3798460,2.3799390,0.9999936,0.9999976
io.reactivex.rxjava3.completable.CompletableTest.asNormal_62,2.8432420,2.8433250,2.8432480,2.8433500,1.0000000,1.0000090
io.reactivex.rxjava3.completable.CompletableTest.asNormal_63,3.5847450,3.5848700,3.5847770,3.5849080,1.0000090,1.0000160
io.reactivex.rxjava3.completable.CompletableTest.complete_64,2.7432310,2.7433390,2.7432110,2.7433330,0.9999903,1.0000000
io.reactivex.rxjava3.completable.CompletableTest.composeNormal_65,1.1491760,1.1492370,1.1491930,1.1492450,1.0000110,1.0000170
io.reactivex.rxjava3.completable.CompletableTest.concatIterableEmpty_66,1.1281370,1.1281840,1.1281390,1.1281750,0.9999932,1.0000040
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIterableThrows_67,2.6485030,2.6486490,2.6484940,2.6486190,0.9999886,0.9999971
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIterableThrows_68,1.9486340,1.9487310,1.9486300,1.9487100,0.9999918,0.9999981
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIteratorHasNextThrows_69,2.1796200,2.1796760,2.1795910,2.1796570,0.9999882,0.9999914
io.reactivex.rxjava3.completable.CompletableTest.concatIterableIteratorNull_70,2.2523990,2.2524680,2.2524570,2.2525280,1.0000230,1.0000280
io.reactivex.rxjava3.completable.CompletableTest.concatIterableMany_71,1.1938440,1.1938900,1.1938280,1.1938700,0.9999822,0.9999879
io.reactivex.rxjava3.completable.CompletableTest.concatIterableManyOneThrows_72,3.6182420,3.6183780,3.6182760,3.6183760,1.0000040,1.0000100
