BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,517494.9,517629.3,517485.5,517595.9,0.999966,0.9999965
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1348449,1348801,1348485,1348732,0.9999546,1.000028
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,678656.1,678863.1,678607.9,678784.3,0.9998839,0.9999636
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1405063,1405412,1405106,1405433,1.000011,1.000075
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,404995.5,405105.9,405016.5,405114.9,1.000009,1.00006
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,394851.7,394950.2,394847.9,394957.3,1.000005,1.000033
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,1201511,1201927,1201517,1201858,0.9999489,1.000042
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1304727,1305171,1304563,1304973,0.9998651,0.9999723
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,896902.7,897188.3,896878.5,897138.7,0.9999281,0.9999731
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1491703,1492359,1492173,1492732,1.000244,1.000326
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,659080.5,659315,659214.4,659467.7,1.000194,1.000252
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,405525.3,405672.9,405435.4,405563.3,0.9997301,0.9998127
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,35895.92,35907.87,35896.43,35906.43,0.9999741,1.000053
