BENCHMARK,Lower_CI_original,Upper_CI_original,Lower_CI_target,Upper_CI_target,Lower_RCI,Upper_RCI
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_startsWithSpanKeyAndLengthPrefix,517493.5,517652.6,517485.2,517634.5,0.999965,1.000006
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,1348358,1348880,1348230,1348730,0.9998884,0.9999403
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_PROTO3,678601.8,678859.7,678602,678852,0.9999545,1.000014
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff,1404960,1405551,1404912,1405567,0.9998795,1.000012
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_shared_JSON_V1,405003.5,405181.9,405000.3,405134.6,0.9999396,1
zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_writeList_multiple,394795.7,395005.3,394855.2,395024.3,1.000057,1.000151
zipkin2.SpanTest._Benchmark.benchmark_idFromLong,1201384,1201897,1201371,1202082,0.9999836,1.000153
zipkin2.internal.JsonEscaperTest._Benchmark.benchmark_testJsonEscapedSizeInBytes,1304627,1305178,1304468,1304997,0.9997956,0.9998853
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_noAnnotations_rootServerSpan_PROTO3,896772.1,897088.2,896934.3,897286.6,1.000146,1.000267
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readShort_byteBuff,1491814,1492539,1492067,1492774,1.000147,1.000232
zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_decoderForListMessage_proto3,659173.3,659493.6,659117.3,659419.8,0.9998533,0.9999384
zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_spanRoundTrip_noRemoteServiceName_PROTO3,405451.1,405667.9,405379,405595.2,0.9998038,0.9998965
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_getTraces_filteringMatchesMostRecentTraces,35892.85,35908.41,35891.35,35906.58,0.9998886,1.000007
zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_writesTraceAndSpanIds,173992.5,174065.6,173968.8,174056,0.9998636,0.9999916
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,1501292,1501852,1501452,1502150,1.000099,1.000198
zipkin2.internal.DateUtilTest._Benchmark.benchmark_getDays,612178.3,612444.1,612050.1,612334.7,0.9997851,0.9999007
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_PROTO3,775390.8,775789.6,775500.9,775754.9,0.9999552,1.000212
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6_compatIpv4_compressed,430289.2,430529.7,430222.6,430432.6,0.9996953,0.9998452
