BENCHMARK,Original_iteration_1,Original_iteration_2,Original_iteration_3,Original_iteration_4,Original_iteration_5,Original_iteration_6,Original_iteration_7,Original_iteration_8,Original_iteration_9,Original_iteration_10,Original_iteration_11,Original_iteration_12,Original_iteration_13,Original_iteration_14,Original_iteration_15,Original_iteration_16,Original_iteration_17,Original_iteration_18,Original_iteration_19,Original_iteration_20,Original_iteration_21,Original_iteration_22,Original_iteration_23,Original_iteration_24,Original_iteration_25,Original_iteration_26,Original_iteration_27,Original_iteration_28,Original_iteration_29,Original_iteration_30,Mutant_iteration_1,Mutant_iteration_2,Mutant_iteration_3,Mutant_iteration_4,Mutant_iteration_5,Mutant_iteration_6,Mutant_iteration_7,Mutant_iteration_8,Mutant_iteration_9,Mutant_iteration_10,Mutant_iteration_11,Mutant_iteration_12,Mutant_iteration_13,Mutant_iteration_14,Mutant_iteration_15,Mutant_iteration_16,Mutant_iteration_17,Mutant_iteration_18,Mutant_iteration_19,Mutant_iteration_20,Mutant_iteration_21,Mutant_iteration_22,Mutant_iteration_23,Mutant_iteration_24,Mutant_iteration_25,Mutant_iteration_26,Mutant_iteration_27,Mutant_iteration_28,Mutant_iteration_29,Mutant_iteration_30,Hitting count ,Lower_CI_original,Upper_CI_original,Lower_CI_mutant,Upper_CI_mutant,Lower_RCI,Upper_RCI
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,960757.89,959598.102,958234.461,956549.439,958058.856,959681.51,957688.852,956926.413,957912.902,958699.611,958593.835,957747.706,957615.247,956869.214,958127.086,957374.133,957653.021,957053.746,956635.998,958524.055,958137.87,957354.035,956753.459,957556.567,957455.636,958655.176,957863.006,957146.552,957012.258,958608.887,958413.463,956944.411,956582.464,955567.638,956500.232,957869.319,955996.571,955706.14,956445.773,956577.357,957326.392,955178.996,956389.351,954980.894,956114.921,956119.319,955785.887,955428.166,955251.039,956966.512,956468.53,955601.443,955548.766,955604.515,955340.876,956669.527,956378.038,955685.491,954971.3,956347.502,2000,957461.8,958343,955809.4,956552.2,0.9981286,0.9982734
zipkin2.SpanBenchmarks.padLeft_1Char,8.27715851,8.31756376,8.46572149,8.44498972,8.25410272,8.50658324,8.37601384,8.41397961,8.52768674,8.5079543,8.15743524,8.56447516,8.31128971,8.21346954,8.40055188,8.44837923,8.33233156,8.41263064,8.52082303,8.27646383,8.03264909,8.3221191,8.43214543,8.57805922,8.43387864,8.14028897,8.45450469,8.51157179,8.23276939,8.37567318,8.26099834,8.29988705,8.45031659,8.43152766,8.24220712,8.49366879,8.36377562,8.39941754,8.50787034,8.49388706,8.14561914,8.55193325,8.3049727,8.19981098,8.39307013,8.42947847,8.32025474,8.40398369,8.50815552,8.26256008,8.02278954,8.31044599,8.42255771,8.5605735,8.4192753,8.1288917,8.4390312,8.50124486,8.22366096,8.35871433,1.00E+02,8.310416,8.433664,8.298719,8.42055,0.9983625,0.9987452
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,24534.4496,24493.524,24537.0528,24505.6193,24551.3107,24502.8787,24591.1128,24516.7375,24479.5999,24565.5485,24524.8961,24533.4155,24530.6966,24451.0081,24444.8451,24464.0768,24201.3365,24501.0415,24504.2931,24477.1654,24460.4129,24430.7477,24492.1699,24482.3703,24436.8724,24344.7129,24421.7114,24412.7866,24426.8037,24320.7821,24523.8152,24460.2865,24520.1185,24468.5409,24523.111,24483.9722,24556.3273,24487.7935,24450.7668,24531.7819,24495.2114,24489.7585,24491.2577,24421.9756,24419.255,24441.1293,24171.0492,24483.4303,24476.0462,24450.1974,24427.7875,24391.6028,24459.2971,24463.3696,24424.0746,24328.593,24390.0776,24392.5342,24390.4415,24284.2396,10000,24437.51,24509.84,24408.76,24481.02,0.9987843,0.9988553
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,201.283048,199.24934,199.895863,199.160159,199.994598,201.809604,200.854022,198.371744,201.194606,199.506324,200.079792,199.13127,198.395321,198.774624,199.67846,198.333009,199.067461,198.861098,198.74164,200.990619,201.715975,199.686786,200.064505,200.559684,201.659594,199.777847,199.741917,198.766045,200.251263,201.605128,200.930288,199.198283,199.762054,198.896417,199.750734,201.506704,200.600389,198.148349,200.962346,199.468324,199.723436,198.967514,198.240127,198.545724,199.394731,198.07842,198.818445,198.523575,198.52136,200.798713,201.52957,199.395307,199.881541,200.264367,201.579928,199.493807,199.583725,198.677297,200.136777,201.35281,10001,199.31,200.2984,199.0775,200.0646,0.9987933,0.9989204
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,615.168298,604.859557,610.767088,610.995674,600.881145,608.618119,605.946755,611.562686,608.639405,603.507616,605.905973,615.646219,605.043167,603.252352,599.883155,615.847112,612.621789,616.032426,605.418324,604.26498,612.158931,609.015528,614.926571,610.574633,606.475779,602.133503,606.96783,619.786053,606.34497,619.905562,614.373045,604.456682,610.057624,610.779643,599.963885,607.733885,605.306284,611.166436,608.009494,602.767835,605.529735,614.59886,604.101575,602.657492,599.176635,615.436374,611.79823,615.008886,605.153717,603.528167,611.814584,608.605508,614.520107,609.965572,606.042369,601.660465,605.870881,618.798103,605.312832,619.37203,500000,606.4095,611.295,605.685,610.4487,0.998622,0.998935
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,73207.2032,72936.1576,72757.9353,73977.4476,73192.2247,73177.0662,72612.6204,72795.5669,72399.3671,72941.7373,73500.3331,74058.7334,73490.2499,73295.6726,72759.0533,73296.1198,72716.2705,72881.0481,72536.9486,73528.6097,73683.784,72576.0263,72606.4637,72041.1035,72984.831,73606.6995,72664.0085,72454.2743,72327.1574,72024.8682,73106.5773,72835.7983,72698.6284,73899.7169,73098.0863,73106.7048,72570.1743,72685.0373,72360.5717,72901.1477,73367.5693,73981.9645,73381.4235,73219.3638,72647.2649,73242.273,72627.9083,72804.7283,72426.5722,73484.7495,73623.7242,72543.3927,72550.3203,71923.2401,72938.1478,73525.8817,72618.2338,72330.6724,72252.205,71926.3144,200,72819.14,73262.24,72726.16,73186.29,0.9988229,0.9989627
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,395.831996,395.387606,395.140125,396.10069,390.403059,400.595139,400.898666,401.614116,395.325753,394.830678,396.966795,394.804707,394.538379,396.315808,397.098172,393.473544,396.263182,394.354344,395.486225,395.840979,397.504348,396.125235,392.984437,396.915446,395.997599,397.05919,395.527311,397.673948,397.400004,394.10192,395.330332,394.856091,394.693879,395.70036,389.950845,399.967104,400.594691,401.283388,394.987959,394.5489,396.570964,394.1604,393.82032,395.82119,396.716613,393.072552,395.838994,393.857414,394.946017,395.571124,397.063191,395.981422,392.872354,396.385825,395.424928,396.733974,395.082873,397.034163,397.349419,393.692392,10001,394.9734,397.0968,394.6027,396.6736,0.9988574,0.9990438
zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder,633.207196,634.54373,628.043849,627.29923,622.668115,628.649215,625.077731,625.904102,631.950636,640.935012,634.648395,621.851751,621.962055,626.684761,625.790387,625.795688,640.375205,637.63058,620.822926,617.124966,629.672648,612.391971,627.332296,626.673722,627.582147,627.583948,630.978651,610.541699,626.871612,625.709753,632.184865,634.30125,627.101409,626.714202,622.273796,627.483692,623.998309,625.368018,631.038363,640.458707,634.084436,620.982166,621.487565,626.181165,625.321977,625.131842,640.16993,637.139068,620.618726,616.632594,629.252954,611.631694,626.849688,625.910983,627.059459,626.998198,630.481859,610.066048,626.321141,624.675729,2.00E+06,624.5146,630.961,623.8345,630.1858,0.9986476,0.9990721
zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,887.644917,865.045607,848.867069,871.7428,856.279174,883.497546,867.631875,874.970272,867.217558,884.602259,870.842945,873.703776,828.921438,880.957883,869.908448,868.786099,878.515144,874.084006,846.342612,882.424997,885.95624,881.889742,877.932389,867.291486,882.334204,884.986996,873.471907,866.792558,872.175961,862.556343,886.262188,864.099235,847.776043,870.840984,855.05176,882.467233,866.882697,873.728589,866.041035,884.397757,869.808526,873.054874,828.241682,879.999975,869.24752,868.175867,878.112739,872.887533,845.78123,881.748026,884.734605,880.609304,876.609028,866.407743,881.714637,883.969774,872.518814,865.815402,871.340258,861.975583,1000000,863.9343,876.855,863.3002,875.6847,0.9987382,0.9991459
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,100976.809,102446.714,99586.7398,102112.808,101018.808,101305.465,101134.783,101347.997,101017.677,102441.818,101804.26,101274.169,102270.375,100726.822,102365.889,99267.8464,101722.105,101239.218,102456.409,99686.9637,101527.809,102486.084,101511.338,101500.151,99489.4923,102033.284,100693.956,102649.287,100497.779,102431.884,100886.425,102322.898,99461.3762,102035.452,100938.588,101171.862,100979.638,101287.395,100896.018,102337.623,101743.279,101249.235,102205.281,100690.245,102214.513,99090.8774,101633.821,101132.205,102362.095,99588.7007,101432.53,102322.669,101406.772,101376.206,99387.3577,101932.745,100584.734,102573.187,100374.322,102384.264,1.00E+02,100889.3,101787.4,100801,101674.5,0.9988807,0.9991548
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,824.739042,804.22721,820.672017,818.36196,823.424755,818.361734,826.752156,809.74794,820.864931,821.154059,833.523967,832.895592,820.782411,833.68142,818.95951,811.179893,834.899098,830.579998,811.069005,821.519618,828.410493,833.238847,805.217382,828.466751,838.065175,828.895385,830.865938,825.385931,830.499174,832.603819,824.466449,803.565207,820.112469,817.394057,822.925118,817.62077,825.560426,809.669963,819.684167,820.024696,832.492158,832.037937,819.229539,832.748276,818.131249,810.51498,834.429508,829.195681,810.089882,821.371085,827.224459,832.8046,804.902199,827.312113,837.0657,828.147162,830.510133,824.906005,829.973906,831.403949,10001,819.0838,827.4157,818.3442,826.7594,0.9989667,0.9991681
